"","Code","ProjectBase","n"
"681","PENSTA","Nevada EYDO",2
"682","PENSTA","Nevada Winnemucca ESR",9
"683","PENSTA","Utah Grand Staircase Escalante NM",2
"684","PF14","California NorCal",1
"685","PF14","Colorado White River FO",1
"686","PF14","Nevada CCDO",3
"687","PF14","Nevada EKDO",1
"688","PF14","Nevada Winnemucca ESR",2
"689","PF15","California NorCal",2
"690","PF15","Nevada BMDO",1
"691","PF15","Nevada CCDO",3
"692","PF15","Nevada EKDO",1
"693","PF15","Nevada Winnemucca ESR",2
"694","PF15","Wyoming Lander FO",2
"695","PF16","Nevada BMDO",3
"696","PF16","Nevada CCDO",3
"697","PF16","Nevada EKDO",1
"698","PF16","Nevada Winnemucca ESR",3
"699","PF16","New Mexico RGdNNM",1
"700","PF17","California NorCal",1
"701","PF17","Nevada CCDO",3
"702","PF17","Nevada EKDO",1
"703","PF17","Nevada Winnemucca ESR",4
"704","PG06","California NorCal",4
"705","PG06","Nevada CCDO",6
"706","PG06","Nevada Winnemucca ESR",6
"707","PG06","Nevada WMDO",7
"708","PG06","Washington Wenatchee  FO",1
"709","PG10","California NorCal",2
"710","PG10","Nevada CCDO",3
"711","PG10","Nevada Winnemucca ESR",4
"712","PG10","Nevada WMDO",1
"713","AF11","California NorCal",3
"714","AF11","Jackson Mountains",1
"715","AF11","Nevada BMDO",2
"716","AF11","Nevada CCDO",3
"717","AF11","Nevada Winnemucca ESR",2
"718","AF11","Nevada WMDO",1
"719","AF14","California NorCal",3
"720","AF14","Nevada BMDO",1
"721","AF14","Nevada CCDO",3
"722","AF14","Nevada SNDO",2
"723","AF14","Nevada Winnemucca ESR",2
"724","AF14","Washington Wenatchee  FO",3
"725","AF15","California NorCal",2
"726","AF15","Nevada BMDO",1
"727","AF15","Nevada CCDO",3
"728","AF15","Nevada SNDO",2
"729","AF15","Nevada Winnemucca ESR",4
"730","AF15","New Mexico RGdNNM",1
"731","AF17","California NorCal",2
"732","AF17","Colorado San Luis Valley FO",1
"733","AF17","Nevada BMDO",2
"734","AF17","Nevada CCDO",3
"735","AF17","Nevada SNDO",1
"736","AF17","Nevada Winnemucca ESR",3
"737","AF18","California NorCal",2
"738","AF18","Nevada BMDO",1
"739","AF18","Nevada CCDO",3
"740","AF18","Nevada Winnemucca ESR",2
"741","AF19","California NorCal",2
"742","AF19","Nevada CCDO",3
"743","AF19","Nevada SNDO",8
"744","AF19","Nevada Winnemucca ESR",2
"745","ERAS5","Nevada Winnemucca ESR",2
"746","ARABIS SP","Nevada Winnemucca ESR",7
"747","AF37","California NorCal",2
"748","AF37","Nevada Winnemucca ESR",1
"749","PG09","California NorCal",2
"750","PG09","Nevada CCDO",3
"751","PG09","Nevada Winnemucca ESR",2
"752","PG09","Nevada WMDO",1
"753","PG11","Nevada CCDO",3
"754","PG11","Nevada Winnemucca ESR",1
"755","MACA3","Nevada Winnemucca ESR",2
"756","PG08","Nevada BMDO",2
"757","PG08","Nevada CCDO",3
"758","PG08","Nevada EYDO",2
"759","PG08","Nevada Winnemucca ESR",1
"760","SH07","California NorCal",4
"761","SH07","Colorado White River FO",1
"762","SH07","Nevada BMDO",1
"763","SH07","Nevada EKDO",1
"764","SH07","Nevada EYDO",1
"765","SH07","Nevada SNDO",3
"766","SH07","Nevada Winnemucca ESR",1
"767","SH07","Nevada WMDO",1
"768","AF09","California NorCal",4
"769","AF09","Nevada BMDO",3
"770","AF09","Nevada CCDO",3
"771","AF09","Nevada SNDO",7
"772","AF09","Nevada Winnemucca ESR",3
"773","AF09","Nevada WMDO",1
"774","SH09","California NorCal",4
"775","SH09","Nevada Winnemucca ESR",2
"776","AF41","California NorCal",3
"777","AF41","Nevada SNDO",1
"778","AF41","Nevada Winnemucca ESR",2
"779","PF21","California NorCal",1
"780","PF21","Nevada CCDO",6
"781","PF21","Nevada Winnemucca ESR",2
"782","PF21","New Mexico RGdNNM",1
"783","PF22","California NorCal",3
"784","PF22","Nevada BMDO",1
"785","PF22","Nevada CCDO",3
"786","PF22","Nevada EKDO",1
"787","PF22","Nevada Winnemucca ESR",2
"788","PF22","Wyoming Lander FO",1
"789","SH11","California NorCal",1
"790","SH11","Nevada Winnemucca ESR",2
"791","LEPU","Colorado Gunnison FO",6
"792","LEPU","Colorado White River FO",2
"793","LEPU","Nevada BMDO",25
"794","LEPU","Nevada CCDO",15
"795","LEPU","Nevada Winnemucca ESR",13
"796","PF09","California NorCal",4
"797","PF09","Colorado White River FO",1
"798","PF09","Nevada BMDO",2
"799","PF09","Nevada CCDO",3
"800","PF09","Nevada EKDO",2
"801","PF09","Nevada Winnemucca ESR",2
"802","PF09","Nevada WMDO",5
"803","AF08","California NorCal",4
"804","AF08","California Riverside East SEZ",2
"805","AF08","Nevada BMDO",8
"806","AF08","Nevada CCDO",3
"807","AF08","Nevada SNDO",3
"808","AF08","Nevada Winnemucca ESR",1
"809","AF08","Nevada WMDO",3
"810","AF08","New Mexico RGdNNM",1
"811","AF08","Washington Wenatchee  FO",6
"812","ASAD6","Nevada BMDO",2
"813","ASAD6","Nevada EKDO",3
"814","ASSC3","Nevada BMDO",4
"815","ASSC3","Nevada EKDO",23
"816","PIMOF","Nevada BMDO",3
"817","CHENO#2","Nevada CCDO",3
"818","SH01","California NorCal",4
"819","SH01","California SurpriseFO ESR",12
"820","SH01","Colorado White River FO",21
"821","SH01","Jackson Mountains",1
"822","SH01","Nevada BMDO",4
"823","SH01","Nevada EKDO",3
"824","SH01","Nevada EYDO",5
"825","SH01","Nevada Winnemucca ESR",2
"826","SH01","Nevada WMDO",2
"827","SH01","New Mexico RGdNNM",3
"828","SH01","Utah Grand Staircase Escalante NM",1
"829","JUBA","Nevada EKDO",2
"830","JUBA","Utah Grand Staircase Escalante NM",1
"831","LAMIACEAE","Nevada CCDO",3
"832","LAMIACEAE","Nevada EYDO",2
"833","LOMAT#5","Nevada CCDO",3
"834","CRYPT#6","Nevada CCDO",3
"835","FOXX","Nevada CCDO",6
"836","FOXX","Nevada SNDO",3
"837","CRYPT#1","Nevada CCDO",3
"838","DEAD SHRUB","Nevada CCDO",3
"839","ASTERACEAE#3","Nevada CCDO",3
"840","CHENO#3","Nevada CCDO",6
"841","POACEAE#2","Nevada CCDO",3
"842","GILIA#8","Nevada CCDO",3
"843","LOMAT#4","Nevada CCDO",3
"844","CRYPT#3","Nevada CCDO",3
"845","DESCU#2","Nevada CCDO",3
"846","GAYOP#4","Nevada CCDO",3
"847","PF23","California NorCal",2
"848","PF23","Nevada BMDO",1
"849","PF23","Nevada CCDO",6
"850","PF23","Nevada Winnemucca ESR",1
"851","KONI","Nevada CCDO",3
"852","PF18","California NorCal",3
"853","PF18","Idaho Bruneau FO",1
"854","PF18","Nevada CCDO",3
"855","PF18","Nevada EKDO",2
"856","PF18","Nevada Winnemucca ESR",1
"857","PF18","New Mexico RGdNNM",1
"858","PG07","California NorCal",4
"859","PG07","Nevada CCDO",3
"860","PF24","California NorCal",1
"861","PF24","Nevada BMDO",1
"862","PF24","Nevada CCDO",3
"863","PF24","New Mexico RGdNNM",1
"864","AF21","California NorCal",2
"865","AF21","Nevada CCDO",3
"866","AF21","Nevada SNDO",1
"867","AF21","Nevada Winnemucca ESR",1
"868","AF21","New Mexico RGdNNM",1
"869","AF24","California NorCal",2
"870","AF24","Nevada CCDO",3
"871","AF24","Nevada Winnemucca ESR",2
"872","PG02","California NorCal",2
"873","PG02","California SurpriseFO ESR",3
"874","PG02","Colorado White River FO",16
"875","PG02","Nevada BMDO",1
"876","PG02","Nevada CCDO",3
"877","PG02","Nevada EKDO",2
"878","PG02","Nevada SNDO",1
"879","PG02","Nevada Winnemucca ESR",4
"880","PG02","Nevada WMDO",1
"881","PF12","California NorCal",2
"882","PF12","Colorado White River FO",1
"883","PF12","Nevada BMDO",1
"884","PF12","Nevada CCDO",3
"885","PF12","Nevada EKDO",1
"886","PF12","Nevada WMDO",4
"887","PF12","New Mexico RGdNNM",1
"888","PF08","California NorCal",3
"889","PF08","Nevada CCDO",3
"890","PF08","Nevada EKDO",1
"891","PF08","Nevada WMDO",2
"892","LOMATAF","California NorCal",36
"893","LOMATAF","Idaho Bruneau FO",1
"894","LOMATAF","Nevada BMDO",3
"895","LOMATAF","Nevada CCDO",1
"896","ORTHOPF","California NorCal",3
"897","ORTHOPF","Washington Wenatchee  FO",1
"898","PF42","California NorCal",4
"899","AF49","California NorCal",2
"900","AMSINAF","California NorCal",9
"901","AMSINAF","Nevada BMDO",2
"902","AMSINAF","Nevada SNDO",5
"903","AMSINAF","Washington Wenatchee  FO",8
"904","AF44","California NorCal",8
"905","AF44","Nevada Winnemucca ESR",1
"906","AF47","California NorCal",2
"907","AF47","Nevada Winnemucca ESR",1
"908","PF43","California NorCal",4
"909","PF43","Nevada EKDO",1
"910","PF43","Wyoming Lander FO",1
"911","PF50","California NorCal",3
"912","PF50","Nevada EKDO",1
"913","PF50","Nevada Winnemucca ESR",2
"914","PF50","Wyoming Lander FO",1
"915","PF37","California NorCal",3
"916","PF37","Nevada Winnemucca ESR",2
"917","SPHAESH","California NorCal",4
"918","PF31","California NorCal",2
"919","PF31","Nevada BMDO",1
"920","PF31","Nevada WMDO",2
"921","PF32","California NorCal",3
"922","PF32","Nevada Winnemucca ESR",3
"923","PG31","California NorCal",3
"924","SH49","California NorCal",1
"925","SH49","Nevada Winnemucca ESR",2
"926","CREPIAF","California NorCal",4
"927","PHLOXPF","California NorCal",12
"928","PHLOXPF","Washington Wenatchee  FO",2
"929","PHLOXPF","Wyoming Lander FO",1
"930","SH04","California NorCal",3
"931","SH04","Nevada SNDO",1
"932","SH04","Nevada Winnemucca ESR",1
"933","SH04","Nevada WMDO",2
"934","AF71","California NorCal",2
"935","AF73","California NorCal",2
"936","PG101","California NorCal",1
"937","PG102","California NorCal",1
"938","PG102","Nevada Winnemucca ESR",3
"939","PF41","California NorCal",4
"940","PF76","California NorCal",3
"941","PF77","California NorCal",3
"942","PF40","California NorCal",4
"943","PF47","California NorCal",2
"944","PF44","California NorCal",2
"945","PF45","California NorCal",2
"946","PF45","Wyoming Lander FO",1
"947","PF46","California NorCal",2
"948","PF46","Wyoming Lander FO",1
"949","SH41","California NorCal",1
"950","SH41","Nevada Winnemucca ESR",1
"951","SH42","California NorCal",1
"952","PHLOXAF","California NorCal",2
"953","PENSTAF","California NorCal",14
"954","AF36","California NorCal",3
"955","AF36","Nevada Winnemucca ESR",1
"956","PG76","California NorCal",3
"957","SH74","California NorCal",1
"958","TR31","California NorCal",1
"959","ERIOGAF","California NorCal",36
"960","ERIOGAF","California Riverside East SEZ",10
"961","ERIOGAF","Idaho Bruneau FO",3
"962","ERIOGAF","Nevada BMDO",1
"963","ERIOGAF","Nevada CCDO",21
"964","ERIOGAF","Nevada SNDO",5
"965","ERIOGAF","Utah Grand Staircase Escalante NM",5
"966","ERIOGAF","Wyoming Lander FO",1
"967","SH78","California NorCal",1
"968","SH77","California NorCal",1
"969","ERIGP1","Nevada Winnemucca ESR",2
"970","PF160","California NorCal",1
"971","PF160","Nevada Winnemucca ESR",1
"972","PG160","Nevada Winnemucca ESR",1
"973","PG161","Nevada Winnemucca ESR",1
"974","PG162","Nevada Winnemucca ESR",1
"975","PG163","Nevada Winnemucca ESR",1
"976","ASTRAAP","Nevada Winnemucca ESR",1
"977","PF165","California NorCal",1
"978","PF165","Nevada Winnemucca ESR",1
"979","PG165","Nevada Winnemucca ESR",1
"980","PF155","California NorCal",1
"981","PF155","Nevada Winnemucca ESR",1
"982","SH153","Nevada Winnemucca ESR",1
"983","SH154","Nevada Winnemucca ESR",1
"984","SH104","Nevada Winnemucca ESR",2
"985","LIRU3","Nevada Winnemucca ESR",2
"986","ARLUL","Nevada Winnemucca ESR",2
"987","PF114","Nevada Winnemucca ESR",3
"988","PF117","Nevada Winnemucca ESR",2
"989","PF118","California NorCal",1
"990","PF118","Nevada Winnemucca ESR",1
"991","PF119","California NorCal",1
"992","PF119","Nevada Winnemucca ESR",1
"993","PG103","Nevada Winnemucca ESR",4
"994","PG106","Nevada Winnemucca ESR",1
"995","PF109","California NorCal",1
"996","PF109","Nevada Winnemucca ESR",5
"997","ASTRAP2","Nevada Winnemucca ESR",8
"998","PENSTP2","Nevada Winnemucca ESR",1
"999","PG150","Nevada Winnemucca ESR",2
"1000","PG151","Nevada Winnemucca ESR",1
"1001","AF150","Nevada Winnemucca ESR",3
"1002","AF151","Nevada Winnemucca ESR",1
"1003","THISTLE SP.","Nevada Winnemucca ESR",1
"1004","AGTR","Nevada Winnemucca ESR",1
"1005","PF39","California NorCal",2
"1006","PF39","Nevada Winnemucca ESR",1
"1007","AF106","California NorCal",1
"1008","AF106","Nevada Winnemucca ESR",1
"1009","PG104","Nevada Winnemucca ESR",1
"1010","ERIGP","Nevada Winnemucca ESR",1
"1011","COPA","Nevada Winnemucca ESR",1
"1012","ERIOGP1","Nevada Winnemucca ESR",1
"1013","ANTENPF","California NorCal",15
"1014","ANTENPF","Nevada BMDO",1
"1015","ANTENPF","Nevada Winnemucca ESR",1
"1016","ANTENPF","Nevada WMDO",2
"1017","ANTENPF","Washington Wenatchee  FO",2
"1018","ANTENPF","Wyoming Lander FO",18
"1019","STVT2","Nevada Winnemucca ESR",1
"1020","LYSP2","Utah Grand Staircase Escalante NM",2
"1021","PF25","California NorCal",2
"1022","PF25","Nevada CCDO",3
"1023","AF16","California NorCal",3
"1024","AF16","Colorado San Luis Valley FO",2
"1025","AF16","Colorado San Luis Valley FO 2015 GUSG Ha",2
"1026","AF16","Nevada BMDO",1
"1027","AF16","Nevada CCDO",3
"1028","AF16","Nevada SNDO",1
"1029","AF16","Nevada Winnemucca ESR",1
"1030","AF16","New Mexico RGdNNM",3
"1031","AF16","Washington Wenatchee  FO",2
"1032","PG05","California NorCal",4
"1033","PG05","Colorado San Luis Valley FO",1
"1034","PG05","Nevada CCDO",6
"1035","PG05","Nevada Winnemucca ESR",1
"1036","PG05","Nevada WMDO",1
"1037","PG05","New Mexico RGdNNM",1
"1038","AF20","California NorCal",3
"1039","AF20","Colorado San Luis Valley FO",1
"1040","AF20","Nevada BMDO",1
"1041","AF20","Nevada CCDO",3
"1042","AF20","New Mexico RGdNNM",1
"1043","GILIAAF","California NorCal",10
"1044","GILIAAF","Nevada BMDO",4
"1045","GILIAAF","Nevada CCDO",39
"1046","GILIAAF","Nevada WMDO",23
"1047","GILIAAF","Utah Grand Staircase Escalante NM",5
"1048","GILIAAF","Wyoming Lander FO",3
"1049","AF74","California NorCal",2
"1050","AF74","Nevada CCDO",9
"1051","ERIASAF","California NorCal",16
"1052","ERIASAF","Nevada CCDO",6
"1053","AF48","California NorCal",1
"1054","AF48","Nevada CCDO",3
"1055","AF48","Nevada Winnemucca ESR",2
"1056","ARABI2PF","California NorCal",42
"1057","ARABI2PF","Idaho Bruneau FO",5
"1058","ARABI2PF","Nevada BMDO",1
"1059","ARABI2PF","Nevada CCDO",3
"1060","ARABI2PF","Nevada EKDO",12
"1061","ARABI2PF","Nevada WMDO",5
"1062","ARABI2PF","Utah Grand Staircase Escalante NM",3
"1063","ARABI2PF","Wyoming Lander FO",16
"1064","PPGG","California SurpriseFO ESR",1
"1065","PPGG","Colorado White River FO",1
"1066","PPGG","Idaho CRMONM AIM",3
"1067","PPGG","Nevada EKDO",6
"1068","PPGG","Nevada Winnemucca ESR",2
"1069","PPGG","Nevada WMDO",3
"1070","ERIGE2A","Idaho CRMONM AIM",1
"1071","OPUNTSUC01","Nevada EYDO",18
"1072","AG02","California NorCal",1
"1073","AG02","California SurpriseFO ESR",3
"1074","AG02","Colorado White River FO",17
"1075","AG02","Nevada BMDO",1
"1076","SH02","California SurpriseFO ESR",3
"1077","SH02","Nevada BMDO",1
"1078","SH02","Nevada EYDO",2
"1079","SH02","Nevada SNDO",6
"1080","SH02","Nevada Winnemucca ESR",2
"1081","SH02","Nevada WMDO",1
"1082","SH02","Utah Grand Staircase Escalante NM",1
"1083","LOMATP2","Nevada Winnemucca ESR",4
"1084","AF103","Nevada Winnemucca ESR",1
"1085","ERIOGP2","Nevada Winnemucca ESR",1
"1086","ONAL","Colorado White River FO",2
"1087","BRAN13","Nevada EKDO",1
"1088","BRAN13","Nevada Winnemucca ESR",3
"1089","BRAN13","Nevada WMDO",3
"1090","ELSM3","Nevada Winnemucca ESR",1
"1091","ELSM3","Nevada WMDO",2
"1092","OTHER","Nevada Winnemucca ESR",2
"1093","AF68","California NorCal",1
"1094","AF68","Nevada CCDO",3
"1095","AF75","California NorCal",1
"1096","AF75","Nevada CCDO",6
"1097","SUC03","Nevada CCDO",3
"1098","MIAC#","Arizona Agua Fria NM",1
"1099","AG1","Arizona Agua Fria NM",2
"1100","PATR","Arizona Agua Fria NM",1
"1101","PF20","California NorCal",2
"1102","PF20","Nevada CCDO",3
"1103","PF20","Nevada Winnemucca ESR",1
"1104","PF20","Washington Wenatchee  FO",7
"1105","PF20","Wyoming Lander FO",1
"1106","MAMMISUCC01","Nevada EYDO",5
"1107","SCLER10SUC01","Nevada EYDO",1
"1108","CAMISPF01","Nevada EYDO",1
"1109","CHAMA15AF01","Nevada EKDO",1
"1110","CHAMA15AF01","Nevada EYDO",6
"1111","MIRABPF01","Nevada EYDO",2
"1112","ERPA20","Nevada SNDO",9
"1113","PHACELIA SP","Nevada SNDO",10
"1114","UNK SHRUB 1","Nevada SNDO",1
"1115","UNK FORB1","Nevada SNDO",1
"1116","UNK GILIA","Nevada SNDO",4
"1117","UNK SH 1","Nevada SNDO",1
"1118","UNK GILIA 1","Nevada SNDO",5
"1119","UNK PRUNUS 1","Nevada SNDO",2
"1120","UNK AMSINKIA","Nevada SNDO",1
"1121","UNK GILIA 2","Nevada SNDO",1
"1122","UNK FORB","Nevada SNDO",1
"1123","UNKGILIA1","Nevada SNDO",2
"1124","UNK BRASS","Nevada SNDO",1
"1125","ENTE","Nevada SNDO",1
"1126","ERFA","Nevada SNDO",9
"1127","ERIOG1","Nevada Winnemucca ESR",1
"1128","LOMATP1","Nevada Winnemucca ESR",2
"1129","AF102","Nevada Winnemucca ESR",1
"1130","AF105","Nevada Winnemucca ESR",2
"1131","PF100","Nevada Winnemucca ESR",3
"1132","PF100","Wyoming Lander FO",1
"1133","AF104","Nevada Winnemucca ESR",2
"1134","SAGEWORT","Nevada Winnemucca ESR",1
"1135","AF101","Nevada Winnemucca ESR",1
"1136","CREPISP2","Nevada Winnemucca ESR",1
"1137","AGSI","Nevada Winnemucca ESR",6
"1138","CREPI2","Nevada Winnemucca ESR",1
"1139","CREPI3","Nevada Winnemucca ESR",1
"1140","PF112","Nevada Winnemucca ESR",2
"1141","PF115","California NorCal",1
"1142","PF115","Nevada Winnemucca ESR",1
"1143","PENSTP1","Nevada Winnemucca ESR",1
"1144","POAN5","Nevada Winnemucca ESR",1
"1145","AF110","Nevada Winnemucca ESR",2
"1146","PF116","California NorCal",2
"1147","PF116","Nevada Winnemucca ESR",1
"1148","SH103","Nevada Winnemucca ESR",2
"1149","EARA2","Nevada Winnemucca ESR",1
"1150","PF120","California NorCal",1
"1151","PF120","Nevada Winnemucca ESR",1
"1152","PF120","Wyoming Lander FO",1
"1153","PF","Nevada Winnemucca ESR",1
"1154","PF","Nevada WMDO",36
"1155","PF104","California NorCal",2
"1156","PF104","Nevada Winnemucca ESR",1
"1157","PF104","Wyoming Lander FO",1
"1158","PF106","California NorCal",1
"1159","PF106","Nevada Winnemucca ESR",2
"1160","PF107","California NorCal",1
"1161","PF107","Nevada Winnemucca ESR",1
"1162","PF108","California NorCal",1
"1163","PF108","Nevada Winnemucca ESR",1
"1164","AF109","Nevada Winnemucca ESR",2
"1165","AF108","Nevada Winnemucca ESR",1
"1166","ASTERPF1","Nevada Winnemucca ESR",1
"1167","SSHH","Nevada Winnemucca ESR",1
"1168","PF150","California NorCal",1
"1169","PF150","Nevada Winnemucca ESR",1
"1170","SAPU11","Nevada Winnemucca ESR",1
"1171","AF22","California NorCal",3
"1172","AF22","Colorado San Luis Valley FO",2
"1173","AF22","Nevada BMDO",1
"1174","AF22","Nevada CCDO",3
"1175","AF22","Nevada SNDO",2
"1176","AF22","New Mexico RGdNNM",1
"1177","MENTZ#2","Nevada CCDO",3
"1178","GAYOP#6","Nevada CCDO",3
"1179","PHLOX#2","Nevada CCDO",3
"1180","ASGL3","Colorado White River FO",1
"1181","BRJA","California Applegate FO",5
"1182","BRJA","California NorCal",1
"1183","BRJA","Colorado White River FO",18
"1184","ERKIU","Colorado White River FO",5
"1185","PENST#3","Nevada CCDO",3
"1186","ARKIG","Nevada CCDO",6
"1187","CHENO#1","Nevada CCDO",3
"1188","BORAGINACEAE","Nevada CCDO",3
"1189","ARENA#2","Nevada CCDO",3
"1190","AF","Nevada CCDO",6
"1191","AF","Nevada WMDO",25
"1192","CRYPT#4","Nevada CCDO",3
"1193","CALOC#2","Nevada CCDO",3
"1194","PENST#2","Nevada CCDO",3
"1195","ACHNA#1","Nevada CCDO",3
"1196","MALAC3A","Nevada SNDO",6
"1197","PF110","Nevada Winnemucca ESR",1
"1198","CASTI2A","Idaho CRMONM AIM",1
"1199","SUAEDSH","Nevada SNDO",1
"1200","GILIAA","Nevada SNDO",11
"1201","ARABI2AF","California NorCal",3
"1202","ARABI2AF","Idaho Bruneau FO",8
"1203","ARABI2AF","Nevada BMDO",1
"1204","ARABI2AF","Nevada EKDO",3
"1205","ARABI2AF","Washington Wenatchee  FO",2
"1206","ARABI2AF","Wyoming Lander FO",6
"1207","CREPIPF","California NorCal",141
"1208","CREPIPF","Idaho Bruneau FO",4
"1209","CREPIPF","Nevada BMDO",3
"1210","CREPIPF","Nevada CCDO",25
"1211","CREPIPF","Nevada EKDO",2
"1212","CREPIPF","Washington Wenatchee  FO",3
"1213","CREPIPF","Wyoming Lander FO",11
"1214","ERIGE2AF","California NorCal",6
"1215","ERIGE2AF","Idaho Bruneau FO",1
"1216","ERIGE2AF","Nevada BMDO",1
"1217","CRYPT#7","Nevada CCDO",3
"1218","PENST#4","Nevada CCDO",3
"1219","ASTER#1","Nevada CCDO",3
"1220","CHENO#4","Nevada CCDO",3
"1221","COLLO#4","Nevada CCDO",3
"1222","POLYG4#1","Nevada CCDO",9
"1223","RYE-LIKE GRASS","Nevada CCDO",9
"1224","POACEAE#3","Nevada CCDO",3
"1225","ACHNA#2","Nevada CCDO",3
"1226","ALLIU#1","Nevada CCDO",3
"1227","BRASSICACEAE","Nevada CCDO",3
"1228","CRYPT#8","Nevada CCDO",3
"1229","PHLOX#3","Nevada CCDO",3
"1230","AF12","California NorCal",5
"1231","AF12","Nevada BMDO",2
"1232","AF12","Nevada CCDO",2
"1233","AF12","Nevada SNDO",1
"1234","AF12","New Mexico RGdNNM",1
"1235","AF13","California NorCal",3
"1236","AF13","Nevada BMDO",1
"1237","AF13","Nevada CCDO",2
"1238","AF13","Nevada EYDO",1
"1239","AF13","Nevada SNDO",4
"1240","AF13","Nevada Winnemucca ESR",1
"1241","GAYOPAF01","Nevada EKDO",5
"1242","MADIAAF01","Nevada EKDO",1
"1243","POTENPF01","Nevada EKDO",1
"1244","ROSA5SH01","Nevada EKDO",1
"1245","RUMEXPF01","Nevada EKDO",1
"1246","CREPIPF02","Nevada EKDO",1
"1247","CREPIPF03","Nevada EKDO",1
"1248","PF3","Nevada Winnemucca ESR",4
"1249","PF3","Nevada WMDO",1
"1250","SH06","California NorCal",4
"1251","SH06","Colorado White River FO",1
"1252","SH06","Nevada EYDO",1
"1253","SH06","Nevada Winnemucca ESR",1
"1254","SH06","Nevada WMDO",2
"1255","AG14","Nevada WMDO",3
"1256","AF42","California NorCal",1
"1257","AF42","Nevada SNDO",1
"1258","AF42","Nevada Winnemucca ESR",3
"1259","ATRIPSH","California NorCal",3
"1260","ATRIPSH","Nevada SNDO",1
"1261","LYCIUSH","Nevada SNDO",9
"1262","CAMISA","Nevada SNDO",11
"1263","SH18","California NorCal",1
"1264","SH18","Nevada SNDO",1
"1265","AAGG","California NorCal",4
"1266","AAGG","California Riverside East SEZ",1
"1267","AAGG","Nevada SNDO",3
"1268","AAGG","Nevada Winnemucca ESR",1
"1269","SH16","California NorCal",1
"1270","SH16","Nevada CCDO",1
"1271","SH16","Nevada SNDO",13
"1272","LINAN2A","Nevada SNDO",1
"1273","STEPHA","Nevada SNDO",9
"1274","PG12","California NorCal",3
"1275","PG12","Nevada EKDO",1
"1276","PG12","Nevada Winnemucca ESR",2
"1277","PG12","Nevada WMDO",2
"1278","PF53","California NorCal",1
"1279","PF53","Nevada BMDO",2
"1280","PF53","Nevada Winnemucca ESR",1
"1281","SH43","California NorCal",1
"1282","SH43","Nevada Winnemucca ESR",1
"1283","AAFF1","Nevada EKDO",51
"1284","AAFF2","Nevada EKDO",31
"1285","AAFF3","Nevada EKDO",17
"1286","AAFF4","Nevada EKDO",12
"1287","AAFF5","Nevada EKDO",8
"1288","AGSM","Nevada EKDO",19
"1289","AGIN2","Nevada EKDO",4
"1290","KOPR80","Nevada EKDO",9
"1291","AAFF6","Nevada EKDO",3
"1292","AAFF7","Nevada EKDO",3
"1293","PPSS1","Nevada EKDO",4
"1294","AAFF8","Nevada EKDO",2
"1295","AAGG1","Nevada EKDO",2
"1296","PF26","California NorCal",3
"1297","PF26","Nevada BMDO",3
"1298","PF26","Nevada CCDO",3
"1299","PF38","Nevada BMDO",1
"1300","PF38","Nevada Winnemucca ESR",1
"1301","UNK GROUND COVER","Nevada SNDO",1
"1302","UNK SHRUB","Nevada SNDO",3
"1303","AF43","California NorCal",4
"1304","AF43","Nevada Winnemucca ESR",2
"1305","AF46","California NorCal",2
"1306","AF46","Nevada Winnemucca ESR",1
"1307","SH37","California NorCal",2
"1308","SH40","California NorCal",1
"1309","PF48","California NorCal",2
"1310","PF48","Wyoming Lander FO",1
"1311","PF49","California NorCal",3
"1312","PF49","Wyoming Lander FO",1
"1313","LUPINAF","California NorCal",26
"1314","LUPINAF","California Riverside East SEZ",1
"1315","LUPINAF","Idaho Bruneau FO",1
"1316","LUPINAF","Nevada SNDO",3
"1317","PF52","California NorCal",2
"1318","PF52","Nevada BMDO",2
"1319","PF52","Wyoming Lander FO",1
"1320","SH45","California NorCal",1
"1321","SH46","California NorCal",1
"1322","MENTZAF","California NorCal",8
"1323","MENTZAF","California Riverside East SEZ",1
"1324","MENTZAF","Nevada SNDO",21
"1325","MENTZAF","Washington Wenatchee  FO",2
"1326","MENTZAF","Wyoming Lander FO",2
"1327","AF70","California NorCal",1
"1328","AF70","Nevada CCDO",3
"1329","AF70","Nevada Winnemucca ESR",1
"1330","AF79","California NorCal",1
"1331","AF79","Nevada CCDO",3
"1332","AF82","California NorCal",1
"1333","AF82","Nevada CCDO",6
"1334","PF29","California NorCal",2
"1335","PF29","Nevada CCDO",3
"1336","PF29","New Mexico RGdNNM",1
"1337","PF30","California NorCal",2
"1338","PF30","Nevada BMDO",1
"1339","PF30","Nevada CCDO",3
"1340","AF83","California NorCal",1
"1341","AF83","Nevada CCDO",3
"1342","ANTENPF01","Nevada EKDO",2
"1343","ANTENPF01","Nevada EYDO",1
"1344","AF63","California NorCal",1
"1345","AF63","Nevada BMDO",2
"1346","AF64","California NorCal",1
"1347","AF64","Nevada BMDO",2
"1348","AF64","Nevada CCDO",2
"1349","PG53","Nevada BMDO",2
"1350","SH51","Nevada BMDO",2
"1351","CHRYS9SH","California NorCal",1
"1352","CHRYS9SH","Nevada BMDO",2
"1353","SH52","Nevada BMDO",2
"1354","SCUTEPF","Nevada BMDO",1
"1355","AF61","California NorCal",1
"1356","AF61","Nevada BMDO",1
"1357","AF62","California NorCal",1
"1358","AF62","Nevada BMDO",1
"1359","AF62","Nevada CCDO",2
"1360","SH50","Nevada BMDO",1
