"","Code","ProjectBase","n"
"149","ERIGE2PF","Nevada EYDO",7
"150","ERIGE2PF","Nevada Winnemucca ESR",1
"151","ERIGE2PF","Nevada WMDO",9
"152","ERIGE2PF","Utah Grand Staircase Escalante NM",3
"153","ERIGE2PF","Washington Wenatchee  FO",7
"154","ERIGE2PF","Wyoming Lander FO",28
"155","AF30","California NorCal",2
"156","AF30","Nevada BMDO",23
"157","AF30","Nevada SNDO",4
"158","AF30","Nevada Winnemucca ESR",1
"159","CRYPTAF","California NorCal",88
"160","CRYPTAF","California Riverside East SEZ",25
"161","CRYPTAF","Idaho Bruneau FO",12
"162","CRYPTAF","Nevada BMDO",4
"163","CRYPTAF","Nevada CCDO",35
"164","CRYPTAF","Nevada EKDO",1
"165","CRYPTAF","Nevada SNDO",24
"166","CRYPTAF","Nevada WMDO",2
"167","CRYPTAF","Washington Wenatchee  FO",11
"168","CRYPTAF","Wyoming Lander FO",7
"169","LOMAT#7","Nevada CCDO",3
"170","POLEMONIACEAE#1","Nevada CCDO",12
"171","ASTERACEAE#4","Nevada CCDO",3
"172","PG","Nevada CCDO",9
"173","PG","Nevada WMDO",31
"174","AF02","California NorCal",5
"175","AF02","California SurpriseFO ESR",4
"176","AF02","Colorado White River FO",20
"177","AF02","Idaho Bruneau FO",1
"178","AF02","Jackson Mountains",6
"179","AF02","Nevada BMDO",11
"180","AF02","Nevada CCDO",3
"181","AF02","Nevada EKDO",5
"182","AF02","Nevada EYDO",1
"183","AF02","Nevada Winnemucca ESR",7
"184","AF02","Nevada WMDO",31
"185","AF23","California NorCal",2
"186","AF23","Nevada BMDO",1
"187","AF23","Nevada CCDO",3
"188","AF23","Nevada SNDO",3
"189","AF23","Nevada Winnemucca ESR",1
"190","AF23","New Mexico RGdNNM",1
"191","OENOTA","Nevada SNDO",8
"192","OENOTA","Nevada Winnemucca ESR",5
"193","PF125","California NorCal",1
"194","PF125","Nevada Winnemucca ESR",1
"195","PF125","Wyoming Lander FO",1
"196","ERIOGP","Idaho CRMONM AIM",1
"197","ERIOGP","Nevada BMDO",1
"198","ERIOGP","Nevada CCDO",3
"199","ERIOGP","Nevada EKDO",18
"200","ERIOGP","Nevada EYDO",3
"201","ERIOGP","Nevada Winnemucca ESR",60
"202","ERIOGP","Nevada WMDO",8
"203","ERIOGP","Utah Grand Staircase Escalante NM",6
"204","SH106","Nevada Winnemucca ESR",2
"205","SH107","Nevada Winnemucca ESR",1
"206","ERIOGA","Nevada CCDO",7
"207","ERIOGA","Nevada EKDO",1
"208","ERIOGA","Nevada SNDO",3
"209","ERIOGA","Nevada Winnemucca ESR",4
"210","ERIOGA","Utah Grand Staircase Escalante NM",4
"211","PGPG","Nevada Winnemucca ESR",5
"212","PGPG","Nevada WMDO",2
"213","ASTRAPF","California NorCal",109
"214","ASTRAPF","Idaho Bruneau FO",1
"215","ASTRAPF","Nevada BMDO",17
"216","ASTRAPF","Nevada CCDO",21
"217","ASTRAPF","Nevada EKDO",57
"218","ASTRAPF","Nevada EYDO",12
"219","ASTRAPF","Nevada SNDO",2
"220","ASTRAPF","Nevada WMDO",12
"221","ASTRAPF","Utah Grand Staircase Escalante NM",16
"222","ASTRAPF","Washington Wenatchee  FO",4
"223","ASTRAPF","Wyoming Lander FO",25
"224","CRYPTPF","California NorCal",1
