"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"364",365,2012,"DA-SHARIIN GOL","DARHAN UUL","DA-Shariin gol / Darhan uul","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,5,0,5,0,84,0,0,0,0,0,13.75,0,0,0,0,0,0,0.5,0,17.25,0,0,0,0,0,3,9.75,92.75,6.75,11,"Darhan-Shariin gol",1,764.4179077,"III","2"
"365",366,2012,"DA-SHARIIN GOL","OLON HOTOL","DA-Shariin gol / Olon hotol","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,54.75,0,0,0,0,0,42,1.5,0,0,0,0,0,9.5,0,0,0,0,0,0,0,31,10,85.25,13,9,"Darhan-Shariin gol",1,584.8136597,"III","2"
"366",367,2012,"DG-AIRAG","MERGEN","DG-Airag / mergen","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,0.5,0,0.5,0,0,0,0,0,32.25,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,72.5,26.5,6,"Dornogovi-Airag",1,837.6195679,"II","2"
"367",368,2012,"DG-AIRAG","NARD","DG-Airag / nard","III","Sandy loam",12,2,2.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.75,49.25,3,"Dornogovi-Airag",1,302.6070862,"IV","4"
"368",369,2012,"DG-AIRAG","NUDEN","DG-Airag / nuden","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,24,0,24,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,78.25,21,4,"Dornogovi-Airag",1,1336.721436,"IV","4"
"369",370,2012,"DG-AIRAG","SAIN US","DG-Airag / sain us","IV","Sandy loam",12,3,3.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,16.75,NA,0,12.75,0,0,0,0,0,8.25,1,0,0,0,0,0,NA,NA,NA,51.75,46,5,"Dornogovi-Airag",1,444.6104126,"I","1"
"370",371,2012,"DG-AIRAG","TSAGAANDORVOLJ","DG-Airag / tsagaandorvolj","IV","Sandy loam",12,3,3.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,4.75,0,4.75,0,0,0,0,0,23,0,0,0.75,0,0,0,0,0,18.5,1,0,0,0,0,0,0,0,0,59.75,33.75,6,"Dornogovi-Airag",1,396.8092651,"I","1"
"371",372,2012,"DG-ALTANSHIREE","CHULUUN GISHGER","DG-Altanshiree / Chuluun gishger","III","Sandy loam",12,2,2.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,8,0,8,0,0,0,0,0,12.75,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,38.5,61.5,5,"Dornogovi-Altanshiree",1,250.2058716,"III","3"
"372",373,2012,"DG-ALTANSHIREE","HAYA","DG-Altanshiree / Haya","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,1.25,0,1.25,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,38.5,54,4,"Dornogovi-Altanshiree",1,167.2039185,"I","1"
"373",374,2012,"DG-ALTANSHIREE","SAIN US","DG-Altanshiree / Sain us","III","Sandy loam",12,2,2.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0.25,47.75,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,48,35.25,3,"Dornogovi-Altanshiree",1,128.0029907,"I","1"
"374",375,2012,"DG-ALTANSHIREE","TOIG","DG-Altanshiree / Toig","III","Sandy loam",12,2,2.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,0.25,1.5,0.25,0.75,0,0,0,0,16.5,0,0,0,0,0,0.25,0,0,0,2,0,0,0,0,0,0,0,0,61.25,38.75,7,"Dornogovi-Altanshiree",1,377.408844,"III","3"
