"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"325",326,2012,"BU-HUTAG-UNDUR","TAHILT4","BU-Hutag-Undur / Tahilt4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,44.25,0,0,15.25,20.75,20.75,0,0,0,48.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,28.5,97.75,2.25,8,"Bulgan-Hutag-Undur",1,801.4187012,"III","2"
"326",327,2012,"BU-HUTAG-UNDUR","TSAGAAN BURGAS2","BU-Hutag-Undur / Tsagaan burgas2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,55.5,0,0,62.75,6.75,6.75,0,0,0,38.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,18.25,98.5,1.5,10,"Bulgan-Hutag-Undur",1,809.0189209,"III","2"
"327",328,2012,"BU-HUTAG-UNDUR","ULAAN SHOROOT5","BU-Hutag-Undur / Ulaan shoroot5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,44.75,0,0,27.5,0.25,0.25,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26.75,97.75,2.25,7,"Bulgan-Hutag-Undur",1,112.2026291,"III","2"
"328",329,2012,"BU-MOGOD","GUDEN3","BU-Mogod / Guden3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,2,0,23,0,0,0,0,0,0,0,0,11.5,15.5,0,14.75,0,0,0,0,1,0,0,0,0,0,0,4.75,0,51,22.5,9,"Bulgan-Mogod",1,314.0073242,"III","2"
"329",330,2012,"BU-MOGOD","HUUVRIIN IH SHAND5","BU-Mogod / Huuvriin ih shand5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,3.5,0,28.75,0,0,15.75,11,11,0,0,0,54.25,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,22.75,17.5,75.25,2,13,"Bulgan-Mogod",1,588.6137695,"III","2"
"330",331,2012,"BU-MOGOD","NOMGON1","BU-Mogod / Nomgon1","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,5,0,13.25,0,0,2.25,0.25,0.25,0,0,0,29,8.5,0,0,0,0,0,12.5,1,0,0,0,0,0,0.25,8.25,3.25,55.5,37.5,16,"Bulgan-Mogod",1,848.2198486,"I","1"
"331",332,2012,"BU-MOGOD","TSOHIONI AR2","BU-Mogod / Tsohioni ar2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,2.25,0.25,25.75,0.25,0,3.5,7.25,7.25,0,0,0,39.25,14.75,0,10.25,0,0,0,0,1,0,0,3.5,0,0,0,10.5,0,79.25,7.25,16,"Bulgan-Mogod",1,396.2092896,"III","2"
"332",333,2012,"BU-MOGOD","UVUR BULAG4","BU-Mogod / Uvur bulag4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,3.25,0,13.25,0,0,0,0,0,0,0,0,37.25,7.5,0,8.5,0,0,0,0,1,0,0,1.75,0,0,0,20.5,0,55.25,39.5,13,"Bulgan-Mogod",1,437.6102295,"III","2"
"333",334,2012,"BU-ORHON","60-N JIL1","BU-Orhon / 60-n jil1","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,3.75,46.25,4,0,19.75,2,2,0,0,0,14.25,21.5,0,0,0,0,5.25,17.75,0,0,0,0.75,0,0,0,1.25,0.5,88.75,3,17,"Bulgan-Orhon",1,256.8059998,"III","2"
"334",335,2012,"BU-ORHON","HALIUN4","BU-Orhon / Haliun4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,6,0,3.5,3.25,0,17,0.25,0.25,0,0,0,46.25,5.5,3.25,20.75,0,0,0,0,0,0,0,0.5,0,0,0,15.5,6,81.25,15,19,"Bulgan-Orhon",1,951.222229,"I","1"
"335",336,2012,"BU-ORHON","MEEJ5","BU-Orhon / Meej5","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,5.75,3.75,0,12.25,0,0,0,0,0,70.25,4.5,0.25,14,0,0,0,0,0,0,0,0,0,0,0,66,0,88,11.5,11,"Bulgan-Orhon",1,102.002388,"III","2"
"336",337,2012,"BU-ORHON","SEER3","BU-Orhon / Seer3","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,1.25,22.75,7.25,0,49,0,0,0,0,0,31.25,7.5,4,45,0,0,8.75,0,0,0,0,0.25,0,0,0,12,0.75,97,1.75,23,"Bulgan-Orhon",1,874.6204834,"I","1"
"337",338,2012,"BU-ORHON","SHUVUUT2","BU-Orhon / Shuvuut2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0.5,0,0,32.25,2.25,2.25,0,0,0,69.75,4.5,0,25.75,0,0,3.25,0,1,0,0,0,0,0,0,69.75,0,92,1.25,9,"Bulgan-Orhon",1,292.2068481,"III","2"
"338",339,2012,"BU-RASHAANT","AVGAL UUL4","BU-Rashaant / Avgal uul4","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,2,20.25,2,0,16,1.25,1.25,0,0,0,1.25,24.5,0,0,0,0,0,42.75,NA,0,0,1.25,0,0,0,0,1.25,84,7.25,10,"Bulgan-Rashaant",1,815.6190186,"I","1"
