,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,GOOD ARTEMISIA,HIMTNMEADOWSPP,OTHER ALLIUM,SHRUB,SUB-SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,SITENAME,LINEID,TOTALWTHECTARE
713,2012,HE-NOROVLIN,SUMIIN TOV,HE-Norovlin / Sumiin tov,II,Loamy,3,2,2.1,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,1,37.25,4.75,0,7.75,0,0,2.25,0,0,26,22.5,2,5.25,0,0,0,0,0,0,0,3.25,0,7.25,0,2.75,5.75,83.75,4.75,31,Hentii-Norovlin,1,660.6154175
714,2012,HE-NOROVLIN,URTIIN ADAG,HE-Norovlin / Urtiin adag,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,7.5,11.75,8.25,0,6.5,0,0,4,0,0,35.25,16,2.5,18.25,0,0,0,0,0,1,0,7.75,0,7.25,0,0,11.25,80.75,2.25,33,Hentii-Norovlin,1,1180.427734
715,2012,HE-TSENHERMANDAL,ADUUNCHULUUN,HE-Tsenhermandal / Aduunchuluun,I,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,18.75,0,8.25,0,0,0.5,0,0,0,0,0,13.25,25,4.25,0,0,0,0,28.75,1,0,0,0,0,0,0,0,12.5,80.5,8.5,11,Hentii-Tsenhermandal,1,618.0144653
716,2012,HE-TSENHERMANDAL,BOR-UNDUR,HE-Tsenhermandal / Bor-undur,I,Loamy,2,1,1.2,2,No,"STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,5.25,0,0.75,0,0,0.25,0,0,0,0,0,7.5,32.5,1.5,0,0,0,0,58,1,0,0,0,0,0,0,0,7.5,94,0.75,11,Hentii-Tsenhermandal,1,467.0109558
717,2012,HE-TSENHERMANDAL,DULAAN,HE-Tsenhermandal / Dulaan,I,Loamy,3,1,1.2,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718,2012,HE-TSENHERMANDAL,HAVTGAIN OVOLJOO,HE-Tsenhermandal / Havtgain ovoljoo,II,Loamy,3,2,2.1,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,5,0,9.5,0,0,0,0,0,0,0,0,12,45.75,12,30,0.5,0,0,0,0,0,0,0,0,0,0,0,10.5,89.25,1,11,Hentii-Tsenhermandal,1,1001.223511
719,2012,HE-UMNUDELGER,BAYANTSOGT UUL,HE-Umnudelger / Bayantsogt uul,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.25,15,5.25,15,0,18.5,0,0,0,0,0,1.5,13.5,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0.5,73.25,13.75,11,Hentii-Umnudelger,1,466.210907
720,2012,HE-UMNUDELGER,GURVANBAYN-AR BULAG,HE-Umnudelger / Gurvanbayn-Ar bulag,I,Loamy,3,1,1.2,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,13.25,4.25,0,47,0,0,2,0,0,33.5,16.5,16.75,12.25,0,0,0,0,0,0,0,1.5,0,0,0,18.5,5.25,96.5,3.5,22,Hentii-Umnudelger,1,880.8205566
721,2012,HE-UMNUDELGER,HALIUN UULIIN ENGER,HE-Umnudelger / Haliun uuliin enger,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,16.75,13.25,16.75,0,2.5,0,0,0,0,0,1.75,8.75,0,0,0,0,0,27.75,0,0,0,0,0,0,0,0,0.75,64.5,26.75,9,Hentii-Umnudelger,1,174.2040863
722,2012,HE-UMNUDELGER,JARGALANTIIN GOL,HE-Umnudelger / Jargalantiin gol,I,Loamy,2,1,1.2,2,No,"STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,24.25,0,0,1.75,0,0,0,0,0,8.25,11.5,0,0,0,0,0,45.5,0,0,0,0,0,0,0,0,7.75,75.25,7.5,9,Hentii-Umnudelger,1,700.2163696
723,2012,HE-UMNUDELGER,SARIGIIN UVUR,HE-Umnudelger / Sarigiin uvur,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0.25,12.25,0.25,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,21.75,0,0,0,0,0,0,0,0,0,86,6.25,6,Hentii-Umnudelger,1,503.0117798
724,2012,HE-UMNUDELGER,TENHLEGIIN AR,HE-Umnudelger / Tenhlegiin ar,I,Loamy,2,1,1.1,1,Yes,"STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,4.25,5.25,4.25,0,0,1,1,0,0,0,8.25,13.5,0,0,0,0,0,36.75,0,0,0,0,0,0,0,0,0,62,37.25,11,Hentii-Umnudelger,1,465.6109009
725,2012,HE-UMNUDELGER,ZURH UUL,HE-Umnudelger / Zurh uul,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,30,0,0,5.5,0,0,0,0,0,8.5,0.5,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,53.75,29.5,10,Hentii-Umnudelger,1,237.6055603
726,2012,HO-ALTAI,ELHON,HO-Altai / Elhon,I,Sandy,19,1,1.1,1,Yes,"Desert rangeland with shrubs in Sandy ESG, Desert",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.75,22.5,2,Hovd-Altai,1,95.60223389
727,2012,HO-ALTAI,HASHAALAAGUI TALBAI,HO-Altai / Hashaalaagui talbai,I,Gravelly,14,1,1.1,1,Yes,"Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,0,NA,0.5,0.5,0,NA,NA,NA,0,0,NA,0,0,0,0,14,0,0,0,0,0,0,1.75,0,0,NA,NA,NA,17.75,63.25,7,Hovd-Altai,1,43.80102158
728,2012,HO-ALTAI,HUNDII,HO-Altai / Hundii,I,Gravelly,14,1,1.1,1,Yes,"Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,2.5,NA,0.25,0,0,NA,NA,NA,0,0,NA,0,16.75,0,0,0.5,0,0,0,0,1.25,0,0,0,0,NA,NA,NA,24.5,42.75,9,Hovd-Altai,1,80.20187378
729,2012,HO-ALTAI,SEER,HO-Altai / Seer,I,Gravelly,14,1,1.1,1,Yes,"Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,0.5,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,10.75,0,0,0,0,1,0,1.5,0,0,NA,NA,NA,14.5,21,6,Hovd-Altai,1,78.00182343
730,2012,HO-ALTAI,TSONJ,HO-Altai / Tsonj,I,High water table,13,1,1.1,1,Yes,"ACSP/SCHI dominated solonchak in HWT ESG, Semidesert steppe",0,7.75,NA,0,0,0,NA,NA,NA,0,0,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,24,63.75,4,Hovd-Altai,1,388.8091125
