"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"312",312,2014,"BU-HANGAL","BULAG4","BU-Hangal / Bulag4","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",1.75,0,5.75,17.5,0.25,0,52.25,1.5,1.5,0,0,0,70.25,8.25,0.5,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,51.25,0,100,NA,19,"Bulgan-Hangal",1,414.2097168,"I","1"
"313",313,2014,"BU-HANGAL","MAIHAN3","BU-Hangal / Maihan3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,1.25,19.75,0,0,55,4.75,4.75,0,0,0,66.5,11.75,0.5,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,48.5,0,100,NA,11,"Bulgan-Hangal",1,272.0063782,"III","2"
"314",314,2014,"BU-HANGAL","TSANIIN BAAZ1","BU-Hangal / Tsaniin baaz1","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,2,17.75,0,0,52,1,1,0,0,0,72.25,13.5,0.5,0.75,0,0,0,0,0,0,0,2.25,0,0,0,0,0,58.5,0,100,NA,15,"Bulgan-Hangal",1,282.8066101,"III","2"
"315",315,2014,"BU-HANGAL","ZUUHII2","BU-Hangal / Zuuhii2","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,4,16,0,0,42.5,5.75,5.75,0,0,0,77.5,13,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,65.25,0,100,NA,11,"Bulgan-Hangal",1,214.2050171,"III","2"
"316",316,2014,"BU-HISHIG-UNDUR","BAAZ HUDAG4","BU-Hishig-Undur / Baaz hudag4","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,16.25,0,0,40.5,3,3,0,0,0,15.25,35.25,0,0,0,0,0,49.5,1,0,0,0,0,0,0,0,0,0,0,100,NA,12,"Bulgan-Hishig-Undur",1,695.4162598,"I","1"
"317",317,2014,"BU-HISHIG-UNDUR","BANZAR6","BU-Hishig-Undur / Banzar6","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,20.25,0,0,49.75,2.75,2.75,0,0,0,12.75,52,0,0,0,0,0,53.75,2,0,0,0,0,0,0,0,0,0,0.75,100,NA,13,"Bulgan-Hishig-Undur",1,728.2171021,"I","1"
"318",318,2014,"BU-HISHIG-UNDUR","HUJIRT1","BU-Hishig-Undur / Hujirt1","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,40.75,0,0,60,0.25,0.25,0,0,0,14.75,26.5,0,1.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,2.5,99.75,0.25,10,"Bulgan-Hishig-Undur",1,361.0084534,"III","2"
"319",319,2014,"BU-HISHIG-UNDUR","MOGOIN EH5","BU-Hishig-Undur / Mogoin eh5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,8.5,0,0,68.5,15,15,0,0,0,26.25,1.75,2.5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,100,NA,12,"Bulgan-Hishig-Undur",1,899.6210327,"III","2"
"320",320,2014,"BU-HISHIG-UNDUR","TEEG2","BU-Hishig-Undur / Teeg2","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,22.5,0,0,43.75,11,11,0,0,0,24.75,26.25,0,0,0,0,0,24.5,1,0,0,0,0,0,0,0,0,0,1,99.5,0.5,10,"Bulgan-Hishig-Undur",1,545.4127808,"I","1"
"321",321,2014,"BU-HISHIG-UNDUR","ZALAAT3","BU-Hishig-Undur / Zalaat3","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,32,0,0,53.5,16.25,16.25,0,0,0,32.25,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.25,99,1,8,"Bulgan-Hishig-Undur",1,381.2089539,"III","3"
