"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"1",1,2014,"AR-BATTSENGEL","BAYANUUL-EEZGIITIIN HUJIRT","AR-Battsengel / Bayanuul-Eezgiitiin hujirt","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,16.5,0,0,0,35,5,5,0,0,0,16.5,3,0.25,0,0,0,0,40.75,0,0,0,3.75,0,0,0,0,0,0,1.25,89,10.75,26,"Arhangai-Battsengel",1,734.2172241,"I","1"
"2",2,2014,"AR-BATTSENGEL","DAIR BOR- YASTIIN ENGER","AR-Battsengel / Dair bor- Yastiin enger","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,2.5,31.5,0,0,31.5,11.5,11.5,0,0,0,13.75,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3.75,82.75,16,13,"Arhangai-Battsengel",1,481.0112915,"III","2"
"3",3,2014,"AR-BATTSENGEL","DEL-TUULAI TOLGOI","AR-Battsengel / del-tuulai tolgoi","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,29.25,2,0,0,46.75,17,17,0,0,0,3.25,0.75,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,2,84.75,14.75,10,"Arhangai-Battsengel",1,748.0175171,"I","1"
"4",4,2014,"AR-BATTSENGEL","HONOG- NUUDII","AR-Battsengel / Honog- Nuudii","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,1.5,0.5,0,0,32,6,6,0,0,0,18.5,8.5,2.25,57,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,2.25,90,10,20,"Arhangai-Battsengel",1,928.8217163,"I","1"
"5",5,2014,"AR-BATTSENGEL","TSATS-URT BULAG","AR-Battsengel / Tsats-Urt bulag","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,6,9.5,0,0,20,1.5,1.5,0,0,0,18.75,10,1,0,0,0,0,37.75,0,0,0,0,0,0,0,0,0,0,0,81,17.75,21,"Arhangai-Battsengel",1,511.2119446,"I","1"
"6",6,2014,"AR-BATTSENGEL","ULAANCHULUU-ASGAT","AR-Battsengel / Ulaanchuluu-Asgat","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,5,21.5,0,0,34,8.25,8.25,0,0,0,20,4,4.5,29.5,0,0,0,0,0,0.75,0,0.5,0,0,0,0,0,0,3,90.75,9,27,"Arhangai-Battsengel",1,803.6187744,"III","2"
"7",7,2014,"AR-BULGAN","BAYANBULAG-HADAT UUL","AR-Bulgan / Bayanbulag-Hadat uul","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.25,15.5,8,0,5.5,5,5,5,0,0,29.25,3.5,11.75,0,0,0,0,2,0,0,0,0,0,3,0,9.25,0,0,15.25,60.75,39.25,26,"Arhangai-Bulgan",1,438.61026,"III","2"
"8",8,2014,"AR-BULGAN","TAMIR-TUGS","AR-Bulgan / Tamir-Tugs","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,3.75,15.75,10.5,0,7.75,4.25,4.25,4.25,0,0,29.25,4,14.5,0,0,0,0,1.5,0,0,0,0,0,4.25,0,7.75,0,0,12.5,64.75,35.25,26,"Arhangai-Bulgan",1,529.8123779,"I","1"
"9",9,2014,"AR-BULGAN","TUSGALT-BUNHAN","AR-Bulgan / Tusgalt-Bunhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.25,14,9.75,0,7,4.25,4.25,4.75,0,0,26.5,4.75,13,0,0,0,0,2,0,0,0,0,0,4,0,7.25,0,0,9,63,37,26,"Arhangai-Bulgan",1,258.0060425,"III","2"
"10",10,2014,"AR-BULGAN","ZUUN MOD-MANHAN","AR-Bulgan / Zuun mod-Manhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.75,15.25,10.75,0,7.5,4.25,4.25,4.5,0,0,26,4,14.5,0,0,0,0,1.75,0,0,0,0,0,4.25,0,7.25,0,0,8,64.25,35.75,26,"Arhangai-Bulgan",1,193.0045166,"I","1"
"11",11,2014,"AR-BULGAN","ZUUNMOD-EREEN","AR-Bulgan / Zuunmod-Ereen","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.5,15,13,0,9.25,4,4,4.5,0,0,29.5,4.5,16,0,0,0,0,1.75,0,0,0,0,0,4.75,0,5.25,0,0,8.75,68.25,31.75,26,"Arhangai-Bulgan",1,388.8091125,"I","1"
"12",12,2014,"AR-CHULUUT","HAIRKHAN-EMT NAMARJAA","AR-Chuluut / Hairkhan-Emt namarjaa","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,20.5,2.25,0,29.5,0,0,0,0,0,21.5,9,8.75,0,0,0,0,15.25,0,5.5,0,2.5,0,0,0,0,0,0,0,75,9.75,17,"Arhangai-Chuluut",1,811.2189941,"I","1"
"13",13,2014,"AR-CHULUUT","HALUUN US-TSAGAAN HOTOL","AR-Chuluut / Haluun us-Tsagaan hotol","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,21.5,0,0,32.5,0,0,0,0,0,31.75,7.25,5.5,0,0,0,0,0,0,6.75,0,0,0,0,0,8,0,0,0,76.25,11.5,17,"Arhangai-Chuluut",1,628.4147339,"III","2"
"14",14,2014,"AR-CHULUUT","HUREM- TSAGAAN ASGA","AR-Chuluut / Hurem- Tsagaan asga","II","Loamy",3,2,2.1,1,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,14.75,0,0,37.25,0,0,0,0,0,18,9.75,15.75,3,0,0,0,0,0,3,0,1.25,0,0,0,0,0,0,0,68.5,21.25,17,"Arhangai-Chuluut",1,742.4173584,"III","2"
"15",15,2014,"AR-CHULUUT","ZUUN MOD-TSOHIOT","AR-Chuluut / Zuun mod-Tsohiot","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.75,16.5,0,0,30.5,0,0,0,0,0,32.25,6.5,6.5,0,0,0,0,7.25,0,6,0,0,0,0,0,1,0,0,2.5,76,11.5,25,"Arhangai-Chuluut",1,521.8121948,"I","1"
"16",16,2014,"AR-CHULUUT","ZUUNMOD-NARANGIIN ENGER","AR-Chuluut / Zuunmod-narangiin enger","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,19,0,19.25,19,0,34.5,0,0,0,0,0,13.75,5.25,17.25,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,72.75,15.25,13,"Arhangai-Chuluut",1,386.809021,"I","1"
"17",17,2014,"AR-ERDENBULGAN","BOR-TOLGOI-MAANIT","AR-Erdenbulgan / Bor-tolgoi-Maanit","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,21.25,0,0,33,2.25,2.25,0,0.5,0,29.25,14.75,6.75,0,0,0,0,14.5,0,0,0,5.25,0,0,0,21.5,0,6.75,5.75,95.5,0.25,26,"Arhangai-Erdenebulgan",1,722.0169067,"I","1"
"18",18,2014,"AR-ERDENBULGAN","URT BULGIIN EH","AR-Erdenbulgan / Urt bulgiin eh","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.75,0,1.5,0,42.25,11.25,11.25,3,7,0,42.5,9.25,11.25,0,0,0,0,3.25,0,0,0,0,0,0,0,30,0,5.5,0,99.25,NA,45,"Arhangai-Erdenebulgan",1,1898.644409,"I","1"
"19",19,2014,"AR-ERDENEMANDAL","BAGA BULAG","AR-Erdenemandal / Baga bulag","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,24.5,0,0,0,0,0,52.5,16.75,8.5,12,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.75,86.5,9.75,14,"Arhangai-Erdenemandal",1,532.812439,"III","2"
"20",20,2014,"AR-ERDENEMANDAL","GONGORIIN JALGA","AR-Erdenemandal / Gongoriin jalga","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,23.25,0,0,5.75,0,0,84.5,26.25,24,28.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.75,99.5,0.5,31,"Arhangai-Erdenemandal",1,1679.639282,"I","1"
"21",21,2014,"AR-ERDENEMANDAL","OLDOH ZUSLAN","AR-Erdenemandal / Oldoh zuslan","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,17.25,0,0,0,0,0,67.75,24.25,26.75,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.25,5.5,14,"Arhangai-Erdenemandal",1,468.6109924,"I","1"
"22",22,2014,"AR-ERDENEMANDAL","OLZIIT DENJ","AR-Erdenemandal / Olziit denj","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,5.75,0,2.5,5.75,0,25,0,0,1,0,0,47.5,5.75,35.75,0,0,0,0,21.75,1,0,0,0,0,0,0,0,0,0,0.25,84.25,1.25,20,"Arhangai-Erdenemandal",1,404.4094543,"I","1"
"23",23,2014,"AR-ERDENEMANDAL","SHANAGA HAVARJAA","AR-Erdenemandal / Shanaga havarjaa","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,0,1,0,25.25,0,0,0,0,0,70.25,18.75,25.75,29.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.25,NA,19,"Arhangai-Erdenemandal",1,457.4107056,"I","1"
"24",24,2014,"AR-ERDENEMANDAL","SHAR ENGER","AR-Erdenemandal / Shar enger","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,27,0,0,6.25,0,0,87.25,21.25,11,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,99.75,0.25,29,"Arhangai-Erdenemandal",1,1336.231323,"I","1"
"25",25,2014,"AR-HAIRHAN","ASGAT-TASHGAI","AR-Hairhan / Asgat-Tashgai","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,4,11,0,0,14.5,0,0,0,0.25,0,19,16.75,21.75,0,0,0,0,8,1,0,0,0.25,0.25,0,0,0,0,0,4.75,89,11,26,"Arhangai Hairhan",1,206.8048248,"I","1"
"26",26,2014,"AR-HAIRHAN","HAIRHAN-HANAN HAD","AR-Hairhan / Hairhan-Hanan had","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.25,33,0,0,17.75,0,0,0,0,0,20,15,13.25,0,0,0,0,8.5,1,0,0,0,0,0,0,0,0,0,0,89.25,10.5,16,"Arhangai Hairhan",1,167.4039307,"III","2"
"27",27,2014,"AR-HAIRHAN","JARANTAI-ARIIN BULAG","AR-Hairhan / Jarantai-Ariin bulag","II","Loamy",3,1,1.1,2,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,2.25,13.25,0,0,10.5,0,0,0,0,0,43,0.75,40.5,6.75,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,21.25,93,6.75,16,"Arhangai Hairhan",1,108.6025467,"III","2"
"28",28,2014,"AR-HAIRHAN","MOGOI-SHAND","AR-Hairhan / Mogoi-Shand","II","Loamy",3,1,1.1,2,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0.25,35.25,0,0,17,1.75,1.75,0,0,0,15.75,5.25,19.5,11.75,0,0,0,0,0,0.25,0,0,0,0,0,2,0,0,5.25,86.5,13.5,20,"Arhangai Hairhan",1,163.0038147,"III","2"
"29",29,2014,"AR-HAIRHAN","UGUUMUR-UU BULAN","AR-Hairhan / Uguumur-Uu bulan","I","Loamy",2,1,1.1,1,"Yes","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0.75,18.75,0,0,12,0.25,0.25,0,0,0,30.5,8.75,20.75,0,0,0,0,10.25,0,0,0,1,0,0,0,0,0,0,6.5,88.5,11.5,21,"Arhangai Hairhan",1,139.0032501,"I","1"
"30",30,2014,"AR-HANGAI","AR BAYASGALAN-ZOOGIIN HUNDII","AR-Hangai / Ar bayasgalan-Zoogiin hundii","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,9.75,0.5,0,0,30.5,0,0,0,0.75,0,23.75,12.5,7.5,0,0,0,0,3,0,11.75,0,0,0,0,0,0,0,0,1.5,57.25,31.25,21,"Arhangai-Hangai",1,214.819519,"I","1"
"31",31,2014,"AR-HANGAI","BAYAN-ULAAN- NARIIN JALGA","AR-Hangai / Bayan-Ulaan- Nariin jalga","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.75,0,0,31.75,0,0,0,0,0,26.5,12.25,6,0,0,0,0,1.5,0,10.75,0,0,0,0,0,0,0,0,5.5,66.25,24,17,"Arhangai-Hangai",1,182.2042847,"III","2"
"32",32,2014,"AR-HANGAI","CHANDMANI-CHANDMANI TOLGOI","AR-Hangai / Chandmani-Chandmani tolgoi","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.5,0.75,0,0,32.75,0,0,0,0,0,30.25,8.75,10.75,0,0,0,0,0.75,0,2.25,0,3.25,0,0,0,0,0,0,3.75,57.5,30.75,23,"Arhangai-Hangai",1,289.4067688,"I","1"
"33",33,2014,"AR-HANGAI","GICHGENE-TSUURAI","AR-Hangai / Gichgene-Tsuurai","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,3.25,1.75,0,0,35.25,0.25,0.25,0,0,0,25,8,6.25,0,0,0,0,1,0,4.25,0,1.5,1,0,0,0,0,0,6.25,56.75,30,24,"Arhangai-Hangai",1,93.00218201,"III","2"
"34",34,2014,"AR-HANGAI","NOEN HANGAI-MASHIIN GUU","AR-Hangai / Noen hangai-Mashiin guu","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.25,7.5,0,0,29.5,0,0,0,0,0,18,5,4.75,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,4.5,52.25,34.25,13,"Arhangai-Hangai",1,30.20070839,"III","2"
"35",35,2014,"AR-HANGAI","TERH- TSEGIIN MUHAR","AR-Hangai / Terh- Tsegiin muhar","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0.5,0,0,0,31.5,0,0,0,0,0,29,12.25,11.75,0,0,0,0,1.5,0,14.5,0,0.5,0,0,0,0,0,0,1.25,61,28,17,"Arhangai-Hangai",1,319.207489,"I","1"
"36",36,2014,"AR-HASHAAT","BAYAN-HAIRIIN OVOO","AR-Hashaat / Bayan-Hairiin ovoo","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",1,5.5,1.5,1.25,5.5,0,20,25.75,25.75,0,0,0,1.75,10.25,2,0,0,0,0,7.5,1,0,0,0,0,1.75,0,0,0,0,0,62.75,36.75,15,"Arhangai-Hashaat",1,110.4025726,"II","2"
"37",37,2014,"AR-HASHAAT","JARGALANT-TSAGAAN CHULUUT","AR-Hashaat / Jargalant-Tsagaan chuluut","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,13.75,0.25,0,13.75,0,29.75,33.5,33.5,0,0,0,0.5,2.75,1.25,0,0,0,0,1.75,1,0,0,0.25,0,0,0,0,0,0,0,66,32.5,11,"Arhangai-Hashaat",1,73.80171967,"II","2"
"38",38,2014,"AR-HASHAAT","NOMGON-BOR HOOLOI","AR-Hashaat / Nomgon-Bor hooloi","I","Sandy loam",8,1,1.2,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,7.75,0,0,25.5,30.75,30.75,0,0,0,0.5,0.5,0.75,0,0,0,0,20.75,1,0,0,0,0,0,0,0,0,0,0,65.5,32.5,9,"Arhangai-Hashaat",1,112.4026184,"I","1"
"39",39,2014,"AR-HASHAAT","TSAGAANHAD-JIMBEGER","AR-Hashaat / Tsagaanhad-jimbeger","I","Deep Sandy",9,1,1.1,1,"Yes","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,5.75,0,0,5.75,0,28,28,28,0,0,0,1.75,4.75,1.75,0,0,0,0,7,1,0,0,0.25,0,0,0,0,0,0,0,61.5,38,12,"Arhangai-Hashaat",1,208.4048767,"II","2"
"40",40,2014,"AR-HASHAAT","TSAIDAM-GUNGIIN HOOLOI","AR-Hashaat / Tsaidam-Gungiin hooloi","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,4.5,0,4,4.5,0,31,36.5,36.5,0,0,0,0.5,0,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0,67,32.5,8,"Arhangai-Hashaat",1,183.804306,"IV","4"
"41",41,2014,"AR-HASHAAT","TSAIDAM-NAMAG","AR-Hashaat / Tsaidam-Namag","II","High water table",4,2,2.1,2,"No","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,0,0,0,75.75,31.25,31.25,5.75,1.5,0,14.75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7.5,90.75,9,12,"Arhangai-Hashaat",1,1084.425293,"II","2"
"42",42,2014,"AR-HOTONT","BURGALTAI-BOGOCHNII AR","AR-Hotont / Burgaltai-Bogochnii ar","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,22.75,0,0,0,13.75,13.75,0,1,0,31.25,8.25,18.75,22,0,0,0,0,0,0,0,9.75,0,0,0,12.5,0,3,20.5,62.75,NA,17,"Arhangai-Hotont",1,398.0093384,"I","1"
"43",43,2014,"AR-HOTONT","HOOVOR-IHRIIN ZUUN UVDUG","AR-Hotont / Hoovor-Ihriin zuun uvdug","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,26.5,0,0,0,11.5,11.5,0.25,0.25,0,29,2.5,9.75,25.25,0,0,0,0,0,0,0,5.5,0,0,0,15.75,0,4.5,11.25,54.5,0.25,20,"Arhangai-Hotont",1,640.0149536,"I","1"
"44",44,2014,"AR-HOTONT","HOTONT-UHAA UUL","AR-Hotont / Hotont-Uhaa uul","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,22.5,0,0,0,13.5,13.5,0,1,0,31.25,8.75,18.25,21.75,0,0,0,0,0,0,0,9.75,0,0,0,13,0,5,18,63,NA,17,"Arhangai-Hotont",1,592.013855,"I","1"
"45",45,2014,"AR-HOTONT","ORHON-HAR OVOO","AR-Hotont / Orhon-Har Ovoo","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,19,0,0,0,13.25,13.25,3,2,0,37.25,3.5,15.5,19.75,0,0,0,0,0,0,0,6.5,0,0,0,9.75,0,3.75,13.75,60.25,NA,24,"Arhangai-Hotont",1,858.0200195,"I","1"
"46",46,2014,"AR-HOTONT","ULAAN CHULUU-UUJ","AR-Hotont / Ulaan chuluu-uuj","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,25.5,0,0,0,13.25,13.25,3.5,2.5,0,38.25,2,21.5,24.75,0,0,0,0,0,0,0,9,0,0,0,13.75,0,4.5,14.25,72,NA,24,"Arhangai-Hotont",1,920.0214233,"I","1"
"47",47,2014,"AR-HOTONT","UNDURSANT-SUULTOLGOI","AR-Hotont / Undursant-Suultolgoi","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,23.25,0,0,0,15.5,15.5,3.75,3,0,37.75,3.5,18.5,21,0,0,0,0,2,0,0,6.5,0,0,0,10.75,0,5.25,11.75,65.75,NA,24,"Arhangai-Hotont",1,1202.828125,"I","1"
"48",48,2014,"AR-IKHTAMIR","BORT-TALIIN TSOHIO","AR-Ikhtamir / Bort-Taliin tsohio","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.75,19,0,0,69,3,3,0,0,0,6.25,7.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,99.25,0.5,14,"Arhangai-Ikhtamir",1,196.0045929,"III","2"
"49",49,2014,"AR-IKHTAMIR","BUGAT-DARGIIN BULAG","AR-Ikhtamir / Bugat-Dargiin bulag","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0.75,17.25,0,0,34.5,1.25,1.25,0,0,0,15,5.25,8.75,0,0,0,0,14,0,0,0,5.25,0,0,0,0,0,2.25,5.5,82,13.5,23,"Arhangai-Ikhtamir",1,180.0042114,"I","1"
"50",50,2014,"AR-IKHTAMIR","ERDENETOLGOI-DELIIN TAG","AR-Ikhtamir / Erdenetolgoi-Deliin tag","II","Gravelly",1,2,2.1,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,0.5,6.25,0,0,18.75,1,1,0,0,0,11.75,4.25,2.25,0,0,0,0,6.25,0,0,0,2.5,0,0,0,0,0,0.5,1,47.75,49.75,20,"Arhangai-Ikhtamir",1,351.8082275,"III","2"
"51",51,2014,"AR-IKHTAMIR","ERDENETOLGOI-TUULAIN BULAG","AR-Ikhtamir / Erdenetolgoi-Tuulain bulag","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,7.5,3.25,5.75,0,66.25,0,0,0,0,0,6.25,19.5,4,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1.25,95.25,2.5,20,"Arhangai-Ikhtamir",1,835.819519,"I","1"
"52",52,2014,"AR-IKHTAMIR","HAN-ONDOR-SUVARGIIN ENGER","AR-Ikhtamir / Han-Ondor-Suvargiin enger","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,6,21,0,0,19.75,1,1,0,0,0,12,9.75,2.75,0,0,0,0,23.5,0,0,0,0.5,0,0,0,0,0,0,1.75,88.5,11.5,13,"Arhangai-Ikhtamir",1,259.2060852,"I","1"
"53",53,2014,"AR-IKHTAMIR","HOHNUUR-ULAALZAIN AM","AR-Ikhtamir / Hohnuur-Ulaalzain am","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.75,4.5,0,0,41,2.5,2.5,0,0,0,5.25,1.5,2,0,0,0,0,45,0,0,0,2,0,0,0,0,0,0,0.25,96.25,3.75,14,"Arhangai-Ikhtamir",1,519.6121216,"I","1"
"54",54,2014,"AR-IKHTAMIR","TAIHAR-HUJIRT","AR-Ikhtamir / Taihar-Hujirt","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.25,10,0.5,0.25,0,8,0,0,0,0,0,11.5,29.75,3.5,0,0,0,0,18.25,0,0,0,0.75,0,0,0,0,0,0,6,73.25,12.75,18,"Arhangai-Ikhtamir",1,247.2057953,"I","1"
"55",55,2014,"AR-JARGALANT","ASAIT-BULGIIN DAVAA","AR-Jargalant / Asait-Bulgiin davaa","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,7.75,0,0,29.25,0,0,0,2.25,0,37.25,0,4.25,0,0,0,0,1.5,0,0.25,0,1,0,0,0,0,0,8,5.75,83,0.25,20,"Arhangai-Jargalant",1,999.2233887,"III","2"
"56",56,2014,"AR-JARGALANT","BAYANTSAGAAN-HURENGIIN BEL","AR-Jargalant / Bayantsagaan-Hurengiin bel","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,82.5,0,0,0,0,0,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,96.25,0.25,7,"Arhangai-Jargalant",1,231.0054169,"III","2"
"57",57,2014,"AR-JARGALANT","ERDENEUUL- SHAR HONDII","AR-Jargalant / Erdeneuul- shar hondii","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,2,0,0,53.75,0,0,0,0,0,16.25,2,10.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,86,NA,8,"Arhangai-Jargalant",1,139.8032684,"III","2"
"58",58,2014,"AR-JARGALANT","HOOLT- HETS DAVAANII AM","AR-Jargalant / Hoolt- Hets davaanii am","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0.75,6.75,0,0,18.5,0,0,0.5,0.75,0,56.5,0,11.5,5.25,0,0,0,0,0,0.5,0,0.75,0,0,0,0,0,4.5,5.5,92.5,NA,27,"Arhangai-Jargalant",1,614.2144165,"III","2"
"59",59,2014,"AR-JARGALANT","ZUSLAN-ZURHIIN OVOLJOO","AR-Jargalant / Zuslan-Zurhiin ovoljoo","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,8,0,0,0,0,0,39.25,0,12.5,0,0,0,0,5,0,0,0,0,0,0,0,22.25,0,0.75,1.25,87,NA,12,"Arhangai-Jargalant",1,273.8063965,"III","2"
"60",60,2014,"AR-TARIAT","ALTAAD-OVOOT","AR-Tariat / Altaad-Ovoot","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,11,7.5,0,0,34,0,0,0,0,0,30.75,10.5,14,0,0,0,0,20.25,0,0,0,0,0,0,0,0,0,0,8,88.75,5.25,14,"Arhangai-Tariat",1,163.0038147,"I","1"
"61",61,2014,"AR-TARIAT","BOOROLJUUT-TSALUU","AR-Tariat / Booroljuut-Tsaluu","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,2.5,0,0,30.5,10.75,10.75,4.5,0,0,25.75,13.75,24,0,0,0,0,6,0,0,0,1.75,0,0,0,0,0,0,0.25,95.25,3,18,"Arhangai-Tariat",1,308.6072083,"I","1"
