"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","DRYLAND.CAREX","GOOD.ARTEMISIA","HALOPHYTIC.SHRUB","HIMTNMEADOWSPP","MEADOW.CAREX","OTHER.ALLIUM","OTHER.CAREX","SHRUB","SUB.SHRUB","TREE","XEROPHYTIC.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","TOTALWTHECTARE","RC.Class","state.Class"
"746",746,2015,"HO-DURGUN","ARAVJ UUL","HO-Durgun / Aravj uul","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0.25,0,0,NA,0,0,0,0,NA,0.25,0,0,0,2.75,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0.25,NA,NA,NA,3.5,74.75,6,75.80177307,"II","2"
"747",747,2015,"HO-DURGUN","BALTSARHAI","HO-Durgun / Baltsarhai","I","Sandy ",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0.5,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.25,NA,NA,NA,4.75,76.5,3,112.0026169,"IV","3"
"748",748,2015,"HO-DURGUN","HASHAALAAGUI TALBAI","HO-Durgun / Hashaalaagui talbai","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,NA,NA,NA,8,74,3,35.40082932,"II","2"
"749",749,2015,"HO-DURGUN","NUHT","HO-Durgun / Nuht","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,5.25,0,0,NA,0,0,0,0,NA,0,0,0,0,2.25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,7.5,75,3,87.80205536,"II","2"
"750",750,2015,"HO-DURGUN","SUL HAR","HO-Durgun / Sul har","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0.25,0,0,NA,0,0,0,0,NA,0,0,0,0,11,0,0,0,0,0,1.75,0,0,0,1.25,0,0,0,0,1.5,NA,NA,NA,13.5,58.5,6,140.2032776,"I","1"
"751",751,2015,"HO-DUUT","GYALGARIN AM","HO-Duut / Gyalgarin am","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,0,1.25,0,0,0,0,0,0,0,0,15,2.5,5,0,0,0,0,8.5,0,0,1.25,0,0,17.25,0,0,0,0,0,0,17.25,0,0,45.75,33.75,11,230.4053802,"I","1"
"752",752,2015,"HO-DUUT","HASHAALAAGUI TALBAI","HO-Duut / Hashaalaagui talbai","I","Gravelly",24,1,1.1,1,"Yes","Cryophyte cushion forb-small bunch grass rangeland in Gravelly hills, High mountain",0,0,0,11.75,0,0,14,0,0,0,0,0,4,2.75,7.75,0,0,0,0,0,0,14,0,0,0,0,0.25,0,0,0,0,0,0,0,0,37.5,49.25,8,66.40155792,"I","1"
"753",753,2015,"HO-DUUT","MARTSAD HOID SALAA","HO-Duut / Martsad hoid salaa","I","Gravelly",24,1,1.1,1,"Yes","Cryophyte cushion forb-small bunch grass rangeland in Gravelly hills, High mountain",0,0,0,8.5,0,0,0,0,0,0,0,0,7.5,0,39.25,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,1.25,2.25,0,0.75,50.25,18.25,10,525.2122803,"I","1"
"754",754,2015,"HO-DUUT","SHIVERIIN HUTUL","HO-Duut / Shiveriin hutul","II","Gravelly",24,2,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,16,0,0,0,0,0,0,0,0,3,1.25,34.25,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,2.25,0,0,50.5,21,9,343.808075,"I","1"
"755",755,2015,"HO-ERDENEBUREN","BALBARHAI","HO-Erdeneburen / Balbarhai","I","Sandy ",16,1,1.1,1,"Yes","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,0.5,0,0.5,12.25,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,32.75,8.5,5,89.80209351,"III","2"
"756",756,2015,"HO-ERDENEBUREN","DUUTIIN UBUR","HO-Erdeneburen / Duutiin ubur","I","Gravelly",11,1,1.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,NA,0,0,43,NA,0,0,0,0,NA,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,58,11.25,3,80.20187378,"I","1"
"757",757,2015,"HO-ERDENEBUREN","HASHAALAAGUI TALBAI","HO-Erdeneburen / Hashaalaagui talbai","IV","Gravelly",11,3,3.1,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,4.75,0,4.75,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,31,4,86.60203552,"I","1"
"758",758,2015,"HO-ERDENEBUREN","SHAR HARGANA","HO-Erdeneburen / Shar hargana","III","Gravelly",11,2,2.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,6,0,6,21,0,0,0,0,0,0,0.5,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.75,6.5,5,90.20211029,"I","1"
"759",759,2015,"HO-ERDENEBUREN","UBDUGIIN GOL","HO-Erdeneburen / Ubdugiin gol","III","Gravelly",11,2,2.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,6.75,0,6.75,17.75,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,14,5,41.60097122,"I","1"
"760",760,2015,"HO-HOVD","BILUUTIIN AM","HO-Hovd / Biluutiin am","I","sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,1.25,0,0,0,0,9.75,0,0,0,0,0,9.75,5,19.75,0,30.25,0,0,0,0,9.75,0,0,0,0,1,0,0,0,0,0.25,0,0,4.5,63.75,21.25,17,399.0093079,"I","1"
"761",761,2015,"HO-HOVD","HASHAALAAGUI TALBAI","HO-Hovd / Hashaalaagui talbai","I","Gravelly",11,1,1.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,1,0,5.5,0,1.25,5.25,0,0,0,0,0,9.5,5.25,0,0,28.5,0,0,0,0,5.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0.5,51,30,17,112.0026093,"I","1"
"762",762,2015,"HO-HOVD","IHER BUUTS","HO-Hovd / Iher buuts","I","sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,0,2.25,0,6.75,2.75,0,0,0,0,0,1.5,30.5,0,0,5.5,0,0,1,0,2.75,0,0,0,0,4.5,0,0,2,0,5,0,0,0,56.25,26,14,186.204361,"I","1"
"763",763,2015,"HO-HOVD","MORIT","HO-Hovd / Morit","I","sandy loam",12,1,1.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,6.25,0,0.25,0,5,0.75,0,0,0,0,0,7.25,26,0,0,17.25,0,0,0.25,0,0.75,0,0,0,0,6.5,0,0,0,0,0,0,0,0,60.75,21.75,15,225.2052612,"I","1"
