"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"1",1,2013,"AR-BATTSENGEL","BAYANUUL-EEZGIITIIN HUJIRT","AR-Battsengel / Bayanuul-Eezgiitiin hujirt","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,7.5,0,12.75,0,0,35.75,0,0,0,0,0,34.75,13.25,2.5,0,0,0,0,34,0,0,0,6,0,0,0,0,0.75,93.75,6,15,"Arhangai-Battsengel",1,813.2190552,"I","1"
"2",2,2013,"AR-BATTSENGEL","DAIR BOR- YASTIIN ENGER","AR-Battsengel / Dair bor- Yastiin enger","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6,3,24.75,3,0,30.75,0,0,0,0,0,32,3.25,0,0,0,0,0,41.5,0,0,0,0,0,0,0,1.5,4.75,92.75,7.25,15,"Arhangai-Battsengel",1,600.0140381,"I","1"
"3",3,2013,"AR-BATTSENGEL","DEL-TUULAI TOLGOI","AR-Battsengel / del-tuulai tolgoi","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,22.75,3.25,6.75,3.25,0,20.25,0,0,0,0,0,35,12.75,0,0,0,0,0,15.5,0,0,0,0,0,0,0,4,4,90.25,9.75,17,"Arhangai-Battsengel",1,676.0158081,"I","1"
"4",4,2013,"AR-BATTSENGEL","HONOG- NUUDII","AR-Battsengel / Honog- Nuudii","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,4.25,0,16.5,0,0,24.5,2.5,2.5,0,0,0,29.5,12.75,0,49.75,0,0,0,0,0,0,0,1.25,0,0,0,0,8.25,92.75,7,16,"Arhangai-Battsengel",1,918.8214722,"I","1"
"5",5,2013,"AR-BATTSENGEL","TSATS-URT BULAG","AR-Battsengel / Tsats-Urt bulag","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,10.75,0,23,0,0,22.75,1.75,1.75,0,0,0,36,11,3,0,0,0,0,39.75,0,0,0,2,0,0,0,3.25,4,93,7,22,"Arhangai-Battsengel",1,611.0143433,"I","1"
"6",6,2013,"AR-BATTSENGEL","ULAANCHULUU-ASGAT","AR-Battsengel / Ulaanchuluu-Asgat","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,12.25,0,11.25,0,0,30.5,0.75,0.75,0,0,0,36.25,13,0,40.25,0,0,0,0,0,0,0,5,0,0,0,2,8.75,93,7,19,"Arhangai-Battsengel",1,1373.232056,"I","1"
"7",7,2013,"AR-BULGAN","BAYANBULAG-HADAT UUL","AR-Bulgan / Bayanbulag-Hadat uul","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,10.75,0,8.5,2.5,0,37.25,1,1,0,0,0,14,4.25,17,0,0,0,0,3.25,0,0,0,0,0,3.75,18.25,0,5.75,83.5,16.5,22,"Arhangai-Bulgan",1,470.6110535,"I","1"
"8",8,2013,"AR-BULGAN","TAMIR-TUGS","AR-Bulgan / Tamir-Tugs","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,16,0,6.25,7,0,27.75,4.25,4.25,0,0,0,15.5,7,13.5,0,0,0,0,2,0,0,0,0,0,2.5,20.25,0,4.75,80.75,19,21,"Arhangai-Bulgan",1,523.4122925,"I","1"
"9",9,2013,"AR-BULGAN","TUSGALT-BUNHAN","AR-Bulgan / Tusgalt-Bunhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,14,0,5.75,3.75,0,28.5,3,3,0,0,0,15.25,8,14,0,0,0,0,3,0,0,0,0,0,1.75,14.25,0,4.25,75,24.75,22,"Arhangai-Bulgan",1,222.8052063,"I","1"
"10",10,2013,"AR-BULGAN","ZUUN MOD-MANHAN","AR-Bulgan / Zuun mod-Manhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,8.75,0,8,2.5,0,34,1.75,1.75,0,0,0,17.5,5.5,18.25,0,0,0,0,3.75,0,0,0,0,0,3.5,13.75,0,4.75,78.25,21.75,22,"Arhangai-Bulgan",1,178.604187,"I","1"
