"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"11",11,2013,"AR-BULGAN","ZUUNMOD-EREEN","AR-Bulgan / Zuunmod-Ereen","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,18.25,0,9.5,7,0,38.25,2,2,0,0,0,16.25,7.5,19.25,0,0,0,0,2.5,0,20.75,0,0,0,4.25,26.75,0,5.5,100,NA,23,"Arhangai-Bulgan",1,377.2088013,"I","1"
"12",12,2013,"AR-CHULUUT","HAIRKHAN-EMT NAMARJAA","AR-Chuluut / Hairkhan-Emt namarjaa","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.5,11,8.5,0,40.5,0,0,0,0,0,13.5,8.25,14,0,0,0,0,13.75,2,0,0,0.75,0,0,0,0,0,72,19.25,12,"Arhangai-Chuluut",1,502.2117004,"I","1"
"13",13,2013,"AR-CHULUUT","HALUUN US-TSAGAAN HOTOL","AR-Chuluut / Haluun us-Tsagaan hotol","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,12.75,0,0.25,43.75,0,0,0,0,0,23.75,9.5,17,0,0,0,0,0.75,0,8.5,0,3.5,0,0,0,0,0,76.75,12.75,22,"Arhangai-Chuluut",1,439.8103333,"I","1"
"14",14,2013,"AR-CHULUUT","HUREM- TSAGAAN ASGA","AR-Chuluut / Hurem- Tsagaan asga","II","Loamy",3,2,2.1,1,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"15",15,2013,"AR-CHULUUT","ZUUN MOD-TSOHIOT","AR-Chuluut / Zuun mod-Tsohiot","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,14.25,2.5,0,37,0,0,0,0,0,31.25,0.5,11.75,0,0,0,0,9.25,0,0.25,0,0,0,0,0,0.75,1,66.75,20.75,20,"Arhangai-Chuluut",1,599.6139526,"I","1"
"16",16,2013,"AR-CHULUUT","ZUUNMOD-NARANGIIN ENGER","AR-Chuluut / Zuunmod-narangiin enger","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.75,19,12.5,19,0,54.75,0,0,0,0,0,13.25,8.5,13.75,0,0,0,0,0.25,1,0.25,0,0,0,0,0,0,1.25,77.5,11.5,19,"Arhangai-Chuluut",1,472.0110474,"I","1"
"17",17,2013,"AR-ERDENBULGAN","BOR-TOLGOI-MAANIT","AR-Erdenbulgan / Bor-tolgoi-Maanit","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.75,0,13.5,0,0,55,0.5,0.5,0,0,0,12.25,4.75,5.25,0,0,0,0,10.25,0,0,0,2.75,0.75,0,0,0,0.5,85.5,6.75,21,"Arhangai-Erdenebulgan",1,416.0097351,"I","1"
"18",18,2013,"AR-ERDENBULGAN","URT BULGIIN EH","AR-Erdenbulgan / Urt bulgiin eh","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3,0,0,0,0,82.25,0.25,0.25,0,0.25,0,10.25,2,4.75,0,0,0,0,0,0,0,0,0.5,1,0,0.5,0,0,93.25,0.75,24,"Arhangai-Erdenebulgan",1,463.0108337,"III","2"
"19",19,2013,"AR-ERDENEMANDAL","BAGA BULAG","AR-Erdenemandal / Baga bulag","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.75,1.75,0,1.75,0,27,0,0,6.5,2.5,0,83.75,28,13.25,21,0,0,0,0,0,0,0,10.5,0,0,0,0,2.75,100,NA,46,"Arhangai-Erdenemandal",1,526.0123291,"I","1"
"20",20,2013,"AR-ERDENEMANDAL","GONGORIIN JALGA","AR-Erdenemandal / Gongoriin jalga","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,4.75,0,0,9.75,0,0,75.5,36,21.75,2.75,0,0,0,0,0,0,0,5.75,0,0,0,0,0,100,NA,21,"Arhangai-Erdenemandal",1,909.4213257,"III","2"
"21",21,2013,"AR-ERDENEMANDAL","OLDOH ZUSLAN","AR-Erdenemandal / Oldoh zuslan","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,9.25,0,0,0,0,0,81.5,28.25,16.75,24,0,0,0,0,1,0,0,0,0,0,0,0,0,94,6,15,"Arhangai-Erdenemandal",1,419.4098206,"I","1"
"22",22,2013,"AR-ERDENEMANDAL","OLZIIT DENJ","AR-Erdenemandal / Olziit denj","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.5,0,8.5,0,40,0,0,0,0,0,52.75,34.75,17.75,0,0,0,0,9.75,0,0,0,1,0,0,0,0,0.5,93.75,6.25,17,"Arhangai-Erdenemandal",1,354.0083008,"I","1"
"23",23,2013,"AR-ERDENEMANDAL","SHANAGA HAVARJAA","AR-Erdenemandal / Shanaga havarjaa","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,13.75,0,13.75,0,11.25,0,0,0,0,0,71,20.25,16.25,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,96.75,3.25,16,"Arhangai-Erdenemandal",1,392.6091919,"III","2"
"24",24,2013,"AR-ERDENEMANDAL","SHAR ENGER","AR-Erdenemandal / Shar enger","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,5.75,0,5.75,0,5.25,0,0,13.25,0,0,82.75,30.25,23,11.25,0,0,0,0,0,0,0,5,0,0,0,0,0,100,NA,24,"Arhangai-Erdenemandal",1,950.4222412,"III","2"
"25",25,2013,"AR-HAIRHAN","ASGAT-TASHGAI","AR-Hairhan / Asgat-Tashgai","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,9,0,22.5,0,0,7,0,0,0,2.5,0,31.5,15.25,43.25,0,0,0,0,22.5,1,1.5,0,0.5,0,0,4.75,0.5,0.25,94.5,5.5,32,"Arhangai-Hairhan",1,371.8086853,"I","1"
"26",26,2013,"AR-HAIRHAN","HAIRHAN-HANAN HAD","AR-Hairhan / Hairhan-Hanan had","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.75,0,21.75,0,0,7.25,0,0,0,3,0,24.75,12,33,0,0,0,0,18.25,0,0.5,0,0.25,0,0,4,0,5.5,89.5,10.5,28,"Arhangai-Hairhan",1,205.8048401,"I","1"
"27",27,2013,"AR-HAIRHAN","JARANTAI-ARIIN BULAG","AR-Hairhan / Jarantai-Ariin bulag","II","Loamy",3,1,1.1,2,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,9.25,0,18,0,0,3,0,0,0,0.25,0,25.25,8.5,36.75,7.5,0,0,0,0,0,0,0,0,0,0,12.25,0,15.25,87.25,10.25,19,"Arhangai-Hairhan",1,485.411377,"III","2"
"28",28,2013,"AR-HAIRHAN","MOGOI-SHAND","AR-Hairhan / Mogoi-Shand","II","Loamy",3,1,1.1,2,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,13.25,0,22.25,0,0,5.5,0,0,0,2.75,0,32.5,12,34.25,12,0,0,0,0,0,0.5,0,0.75,0,0,1.5,0,0.5,88.5,11,31,"Arhangai-Hairhan",1,213.0049896,"III","2"
"29",29,2013,"AR-HAIRHAN","UGUUMUR-UU BULAN","AR-Hairhan / Uguumur-Uu bulan","I","Loamy",2,1,1.1,1,"Yes","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,7.25,0,15.25,0,0,6.5,0,0,0,1.5,0,15,8.25,20.25,0,0,0,0,17.25,1,0,0,0,0,0,0,0,0.5,84.75,15.25,17,"Arhangai-Hairhan",1,28.60066795,"I","1"
"30",30,2013,"AR-HANGAI","AR BAYASGALAN-ZOOGIIN HUNDII","AR-Hangai / Ar bayasgalan-Zoogiin hundii","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.5,0,1.75,0,0,42.25,0.25,0.25,0,2,0,5.5,19.25,0,0,0,0,0,1.25,0,11,0,0.25,0,0,0,0,4,73.25,15.5,14,"Arhangai-Hangai",1,231.0054169,"I","1"
"31",31,2013,"AR-HANGAI","BAYAN-ULAAN- NARIIN JALGA","AR-Hangai / Bayan-Ulaan- Nariin jalga","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.25,0,16,0,0,42.75,1.25,1.25,0,0.75,0,16.75,0.5,8.25,0,0,0,0,0,0,3.5,0,0,0.5,0,0,0.75,4,77.5,10,24,"Arhangai-Hangai",1,267.0062256,"III","2"
"32",32,2013,"AR-HANGAI","CHANDMANI-CHANDMANI TOLGOI","AR-Hangai / Chandmani-Chandmani tolgoi","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,4,0,3,0,0,49,0.25,0.25,0,0.5,0,7,1.75,1.75,0,0,0,0,6.75,0,5.5,0,0,0,0,0,0,1,70.5,25.75,19,"Arhangai-Hangai",1,470.0109863,"III","2"
"33",33,2013,"AR-HANGAI","GICHGENE-TSUURAI","AR-Hangai / Gichgene-Tsuurai","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.25,0,9.75,0,0,48.25,3.75,3.75,0.25,0.75,0,24.25,0.5,6,0,0,0,0,0,0,15,0,0.25,2.25,0,0,0,2.75,87.75,8.5,21,"Arhangai-Hangai",1,225.8052826,"III","2"
"34",34,2013,"AR-HANGAI","NOEN HANGAI-MASHIIN GUU","AR-Hangai / Noen hangai-Mashiin guu","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.25,0,9.5,0,0,37.5,0.75,0.75,0,3,0,26.75,10.5,12.75,0,0,0,0,0,0,2,0,0.5,0,0,0,0,5.25,75,15.25,26,"Arhangai-Hangai",1,233.8054504,"I","1"
"35",35,2013,"AR-HANGAI","TERH- TSEGIIN MUHAR","AR-Hangai / Terh- Tsegiin muhar","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3,0,2.75,0.75,0,45.75,2.5,2.5,0,0,0,17.25,17.5,0.5,0,0,0,0,0.5,0,5,0,0,0,0,0,0,5.75,75,10,16,"Arhangai-Hangai",1,364.6085205,"III","2"
"36",36,2013,"AR-HASHAAT","BAYAN-HAIRIIN OVOO","AR-Hashaat / Bayan-Hairiin ovoo","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",1,0.25,3,2.75,3,0,7.25,19.5,19.5,0,0,0,0.5,39.5,5.5,0,0,0,0,2.25,1,0.5,0,1.25,7.25,4,0,0,0.25,68.25,31,18,"Arhangai-Hashaat",1,39.00091171,"II","2"
"37",37,2013,"AR-HASHAAT","JARGALANT-TSAGAAN CHULUUT","AR-Hashaat / Jargalant-Tsagaan chuluut","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",1,0.25,4.25,7.25,4.25,0,14.25,34.5,34.5,0,0,0,0,25,8.25,0,0,0,0,7.75,1,0,0,1,3.5,1.5,0,0,0,72.5,26.25,14,"Arhangai-Hashaat",1,110.0025711,"II","2"
"38",38,2013,"AR-HASHAAT","NOMGON-BOR HOOLOI","AR-Hashaat / Nomgon-Bor hooloi","I","Sandy loam",8,1,1.2,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1.25,1,4,1,0,4.75,18.5,18.5,0,0,0,0,19,4.25,0,0,0,0,24.25,1,0.25,0,0.25,4.75,2,0,0,0,67.25,29.25,13,"Arhangai-Hashaat",1,283.4066162,"I","1"
"39",39,2013,"AR-HASHAAT","TSAGAANHAD-JIMBEGER","AR-Hashaat / Tsagaanhad-jimbeger","I","Deep Sandy",9,1,1.1,1,"Yes","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,3.5,10.25,2.25,10.25,0,16,44.25,44.25,0,0,0,0.25,9.75,2,0,0,0,0,25.5,1,0,0,0,4,0,0,0,0.25,80.5,16.75,11,"Arhangai-Hashaat",1,254.605957,"I","1"
"40",40,2013,"AR-HASHAAT","TSAIDAM-GUNGIIN HOOLOI","AR-Hashaat / Tsaidam-Gungiin hooloi","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,0,12.75,10.25,12.75,0,9.75,49.75,49.75,0,0,0,0.25,2.25,0.75,0,0,0,0,2,1,0,0,0.25,11.5,0.75,0,0,0,70,26.5,12,"Arhangai-Hashaat",1,314.4073486,"II","2"
"41",41,2013,"AR-HASHAAT","TSAIDAM-NAMAG","AR-Hashaat / Tsaidam-Namag","II","High water table",4,2,2.1,2,"No","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,0,0,0,81,33.25,33.25,5.75,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,86.25,3.5,11,"Arhangai-Hashaat",1,1193.828003,"II","2"
"42",42,2013,"AR-HOTONT","BURGALTAI-BOGOCHNII AR","AR-Hotont / Burgaltai-Bogochnii ar","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,4.25,0,28,0,0,0,5.5,5.5,0,0.5,0,33.25,9,25.25,24.25,0,0,2,0,0,0,0,10.5,0,0,21.5,3.5,10.5,77.5,NA,23,"Arhangai-Hotont",1,410.4096069,"I","1"
"43",43,2013,"AR-HOTONT","HOOVOR-IHRIIN ZUUN UVDUG","AR-Hotont / Hoovor-Ihriin zuun uvdug","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,22,0,0,0,13,13,0,0.5,0,39,12.25,30,25.25,0,0,0.5,0,0,0,0,4,0,0,17.75,4.5,15,75,NA,23,"Arhangai-Hotont",1,569.0133057,"I","1"
"44",44,2013,"AR-HOTONT","HOTONT-UHAA UUL","AR-Hotont / Hotont-Uhaa uul","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.75,0,17.75,0,0,0,11.5,11.5,0,0.75,0,25.75,9,27,40.25,0,0,0,0,0,0,0,7.25,0,0,20.75,6,15,73,NA,21,"Arhangai-Hotont",1,644.6151123,"I","1"
"45",45,2013,"AR-HOTONT","ORHON-HAR OVOO","AR-Hotont / Orhon-Har Ovoo","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.5,0,17,0,0,0,10.75,10.75,0,0.75,0,29,9,23.25,40,0,0,0,0,0,0,0,7.25,0,0,19.5,5.75,15,73.5,NA,23,"Arhangai-Hotont",1,912.8213501,"I","1"
"46",46,2013,"AR-HOTONT","ULAAN CHULUU-UUJ","AR-Hotont / Ulaan chuluu-uuj","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,25,0,0,0,6,6,0,0.25,0,39,8.5,22.75,28,0,0,0.25,0,0,0,0,8.75,0,0,16.5,4.25,17.75,70.25,NA,22,"Arhangai-Hotont",1,1561.436401,"I","1"
"47",47,2013,"AR-HOTONT","UNDURSANT-SUULTOLGOI","AR-Hotont / Undursant-Suultolgoi","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,18.5,0,0,0,14,14,0,0.75,0,25.25,4.75,33.5,40.25,0,0,0,0,0,0,0,3.5,0,0,23.5,4.75,16.5,76,NA,21,"Arhangai-Hotont",1,1182.427612,"I","1"
"48",48,2013,"AR-IKHTAMIR","BORT-TALIIN TSOHIO","AR-Ikhtamir / Bort-Taliin tsohio","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3.25,0,17.75,0,0,51.5,8,8,0,0,0,11,7,0,0,0,0,0,0,0,4.25,0,5.25,0,0,0,0.25,1,87.25,4.25,18,"Arhangai-Ikhtamir",1,131.203064,"III","2"
"49",49,2013,"AR-IKHTAMIR","BUGAT-DARGIIN BULAG","AR-Ikhtamir / Bugat-Dargiin bulag","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.25,0,30.75,0,0,30.25,0,0,0,0,0,22.5,13.5,32,0,0,0,0,17.75,0,1.25,0,7.75,0,0,0,8.5,0.25,95.75,1.5,32,"Arhangai-Ikhtamir",1,275.2064514,"III","2"
"50",50,2013,"AR-IKHTAMIR","ERDENETOLGOI-DELIIN TAG","AR-Ikhtamir / Erdenetolgoi-Deliin tag","II","Gravelly",1,2,2.1,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,4,0,5.75,0,0,20,0,0,0,0,0,11,10.5,1.75,0,0,0,0,6.25,1,0,0,5.5,0,0,0.25,2,0,55,28.25,23,"Arhangai-Ikhtamir",1,105.8024673,"III","2"
"51",51,2013,"AR-IKHTAMIR","ERDENETOLGOI-TUULAIN BULAG","AR-Ikhtamir / Erdenetolgoi-Tuulain bulag","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.75,0,6,0.75,0,46.25,0.25,0.25,0,0,0,15.75,25,4.25,0,0,0,0,0.5,0,15,0,0,0,0,0,0,0.75,83.5,10.75,22,"Arhangai-Ikhtamir",1,119.0027771,"I","1"
"52",52,2013,"AR-IKHTAMIR","HAN-ONDOR-SUVARGIIN ENGER","AR-Ikhtamir / Han-Ondor-Suvargiin enger","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.75,0,16.5,0,0,27.75,0,0,0,0,0,7.25,16,2,0,0,0,0,25,0,0,0,4.25,0,0,0,0.25,0.5,85.25,9.25,22,"Arhangai-Ikhtamir",1,187.4043884,"I","1"
"53",53,2013,"AR-IKHTAMIR","HOHNUUR-ULAALZAIN AM","AR-Ikhtamir / Hohnuur-Ulaalzain am","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3,0,11.75,0,0,38.25,0,0,0,0,0,19.5,21.5,6.25,0,0,0,0,19,0,5.25,0,10,0,0,0,1,4.75,89.25,5.75,22,"Arhangai-Ikhtamir",1,288.6067505,"I","1"
"54",54,2013,"AR-IKHTAMIR","TAIHAR-HUJIRT","AR-Ikhtamir / Taihar-Hujirt","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6,0,2.75,0,0,9,0,0,0,0,0,13.75,22.75,0.75,0,0,0,0,11.5,1,0,0,1.75,0,0,0,0,0,65.5,22,19,"Arhangai-Ikhtamir",1,212.6049652,"I","1"
"55",55,2013,"AR-JARGALANT","ASAIT-BULGIIN DAVAA","AR-Jargalant / Asait-Bulgiin davaa","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.75,0,0,54,0,0,0,1.5,0,17.25,0,0.5,0,0,0,0,0.25,0,1.5,0,0.5,0,0,0,1.5,4.25,75.75,0.25,23,"Arhangai-Jargalant",1,341.2079468,"III","2"
"56",56,2013,"AR-JARGALANT","BAYANTSAGAAN-HURENGIIN BEL","AR-Jargalant / Bayantsagaan-Hurengiin bel","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,3,0,0,59.25,0,0,0,0,0,10,0,2.5,0,0,0,0,0.5,0,0,0,7.75,0,0,0,0.5,6,81,NA,11,"Arhangai-Jargalant",1,299.4069824,"III","2"
"57",57,2013,"AR-JARGALANT","ERDENEUUL- SHAR HONDII","AR-Jargalant / Erdeneuul- shar hondii","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,3.5,0,0,37.25,0,0,0,0.5,0,38.25,0,6.5,0,0,0,0,4.5,0,1.25,0,5.25,0,0,0,0.75,17.75,88.25,4.5,27,"Arhangai-Jargalant",1,243.2056885,"III","2"
"58",58,2013,"AR-JARGALANT","HOOLT- HETS DAVAANII AM","AR-Jargalant / Hoolt- Hets davaanii am","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0.75,0,0,0.25,0,0,0,2.25,0,57.75,0,3.25,6.25,0,0,0,0,0,5.75,0,0,0,0,0,0,0,76.25,0.25,25,"Arhangai-Jargalant",1,512.2119751,"III","2"
"59",59,2013,"AR-JARGALANT","ZUSLAN-ZURHIIN OVOLJOO","AR-Jargalant / Zuslan-Zurhiin ovoljoo","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,7,0,1.5,0,0,17.25,0,0,0,0,0,36.5,0.75,3.5,0,0,0,0,3,0,1.5,0,8,0,0,0,0.75,2.5,82.25,8.25,42,"Arhangai-Jargalant",1,245.4057617,"III","2"
"60",60,2013,"AR-TARIAT","ALTAAD-OVOOT","AR-Tariat / Altaad-Ovoot","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,11.25,0,16.5,0,0,34.75,0.5,0.5,0,0,0,47,17.25,17.75,0,0,0,0,17,0,3.75,0,1.25,0,0,0,0,9.5,96.75,2.25,22,"Arhangai-Tariat",1,355.6083374,"I","1"
