,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,DRYLAND CAREX,GOOD ARTEMISIA,HALOPHYTIC SHRUB,HIMTNMEADOWSPP,MEADOW CAREX,OTHER ALLIUM,OTHER CAREX,SHRUB,SUB-SHRUB,TREE,XEROPHYTIC SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,TOTALWTHECTARE
378,2015,DG-DALANJARGALAN,ONGOT,DG-Dalanjargalan / ongot,II,Sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,31.75,0,0.75,0,0,2.75,0,0,0,0,0,4.25,0,0,0,7.5,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0.5,0,0,0,61.25,10.5,13,250.0058594
379,2015,DG-DALANJARGALAN,TSOMOG,DG-Dalanjargalan / tsomog,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,14.75,NA,0,0,0,NA,0,0,0,0,NA,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,NA,NA,NA,21.25,35,9,44.00102615
380,2015,DG-DELGEREH,BARUUN TEVH,DG-Delgereh / baruun tevh,I,Sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0.75,0,0,NA,0,0,0,0,NA,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,45,3,2.800065517
381,2015,DG-DELGEREH,HAMRIIN UUL,DG-Delgereh / Hamriin uul,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,7.5,0,2,0,4,4.25,0,0,0,0,0,1.75,0,0,0,1.5,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,5.5,0,0,0,37.25,32.25,10,172.0040283
382,2015,DG-DELGEREH,HONGOR,DG-Delgereh / Hongor,II,Sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,2.5,NA,0,0,0,NA,0,0,0,0,NA,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.5,70.75,5,30.20070648
383,2015,DG-DELGEREH,HUR,DG-Delgereh / hur,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,23.25,0,0,0,0,3.25,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0.25,0,0,0,0,1,0,0,1,33.5,29,11,14.00032711
384,2015,DG-DELGEREH,MORGOTSGIIN UUL,DG-Delgereh / morgotsgiin uul,I,Sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0.5,0,NA,2.5,0,2.25,NA,0,0,0,0,NA,0,0,0,0,1.75,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,4,NA,NA,NA,11.5,37.5,8,27.40064049
385,2015,DG-DELGEREH,NUDENGIIN TOLGOD,DG-Delgereh / Nudengiin tolgod,II,Sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4.25,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.75,0,0,0,39,23.25,11,256.0059814
386,2015,DG-DELGEREH,TEEGIIN TAL,DG-Delgereh / Teegiin tal,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,22.5,0,0,0,0.25,3.5,1.25,1.25,0,0,0,15,0,0,0,0,0,0,0,0,3.5,0,0.25,0,0,11,0,0,0,0,2.25,0,0,0,55.5,17.25,14,184.004303
387,2015,DG-ERDENE,BUTNI HOOLOI,DG-Erdene / butni hooloi,III,Sandy loam,12,2,2.2,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,11.25,0,0,0,2,4,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,4,0,0.5,0,0,0.25,0,0,0,0,10.75,0,0,0,56.5,35,12,354.0083008
