VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
2350,16901,72,7216901,Alaska Arctic Dwarf-Shrubland - Frequent Fire,533,533,White Arctic Mountain Heather-Black Crowberry-Dwarf Fireweed-5,193,Shrubland,237,145,0.93,0.76,0.57
2351,16941,72,7216941,Alaska Arctic Tussock Tundra - Frequent Fire,535,535,Tussock Cottonsedge-Bigelows Sedge-Dwarf Fireweed-5,216,Grassland,191,216,0.75,0.85,0.85
2352,16970,72,7216970,Alaska Arctic Pendantgrass Freshwater Marsh,537,537,Pendantgrass-5,204,Riparian,0,204,0,0.8,0.8
2353,16980,72,7216980,Alaska Arctic Wet Sedge Meadow,538,538,Water Sedge-Tussock Cottonsedge-5,255,Peatland non-forest,193,193,0.76,1,0.76
2354,16990,72,7216990,Alaska Arctic Mesic Herbaceous Meadow,539,539,Bering Sea Sedge-Boreal Alopecurus-5,237,Grassland,237,0,0.93,0.93,0
2355,17010,72,7217010,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,540,540,Black Crowberry-Alaska Bog Willow-5,130,Shrubland,255,71,1,0.51,0.28
2356,17020,72,7217020,Alaska Arctic Wet Sedge-Sphagnum Peatland,541,541,Cottongrass-Northwest Territory Sedge-Sphagnum-5,237,Peatland non-forest,224,237,0.88,0.93,0.93
2357,17030,72,7217030,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland,542,542,Dwarf Birch-Marsh Labrador Tea-Sphagnum-5,204,Peatland non-forest,193,204,0.76,0.8,0.8
2358,17040,72,7217040,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,543,543,Reindeer Lichen-Cup Lichen-Dwarf Birch-5,237,Peatland non-forest,224,224,0.88,0.93,0.88
2359,17050,72,7217050,Alaska Arctic Sedge Freshwater Marsh,544,544,Water Sedge-Tall Cottongrass-Common Mares Tail-5,191,Riparian,0,255,0,0.75,1
2360,17060,72,7217060,Alaska Arctic Polygonal Ground Wet Sedge Tundra,545,545,Water Sedge-Tall Cottongrass-Tussock Cottongrass-5,226,Grassland,175,255,0.69,0.89,1
2361,17080,72,7217080,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra,546,546,Dwarf Birch-Tealeaf Willow-Tussock Cottongrass-5,255,Grassland,226,226,0.89,1,0.89
2362,17090,72,7217090,Alaska Arctic Marine Beach and Beach Meadow,547,547,American Dunegrass-Black Crowberry-5,242,Grassland,255,142,1,0.95,0.56
2363,17110,72,7217110,Alaska Arctic Tidal Marsh,548,548,Ramensks Sedge-Hoppners Sedge-Fishers Tundragrass-5,224,Riparian,237,229,0.93,0.88,0.9
2364,17120,72,7217120,Alaska Arctic Coastal Brackish Meadow,549,549,Looseflower Alpine Sedge-Circumpolar Reedgrass-Arctic Daisy-5,183,Riparian,99,255,0.39,0.72,1
2365,17140,72,7217140,Alaska Arctic Large River Floodplain,551,551,Balsam Poplar-Alder- Richardsons Willow-5,135,Hardwood,28,237,0.11,0.53,0.93
2366,17150,72,7217150,Alaska Arctic Floodplain,552,552,Willow-Balsam Poplar-Mountain Avens-5,79,Hardwood,15,140,0.06,0.31,0.55
2367,17170,72,7217170,Alaska Arctic Bedrock and Talus,100,100,Sparsely Vegetated,242,Sparse,242,242,0.95,0.95,0.95
2368,17320,72,7217320,Aleutian Volcanic Rock and Talus,100,100,Sparsely Vegetated,56,Sparse,76,51,0.3,0.22,0.2
2369,16011,73,7316011,Western North American Boreal Treeline White Spruce Woodland - Boreal,457,457,White Spruce-Black Spruce-4,119,Conifer,0,0,0,0.47,0
2370,16012,73,7316012,Western North American Boreal Treeline White Spruce Woodland - Alaska Sub-boreal,458,458,White Spruce-Black Spruce-5,119,Conifer,0,0,0,0.47,0
2371,16030,73,7316030,Western North American Boreal White Spruce-Hardwood Forest,459,459,White Spruce-Paper Birch-4,165,Conifer-Hardwood,0,0,0,0.65,0
2372,16041,73,7316041,Western North American Boreal Mesic Black Spruce Forest - Boreal,460,460,Black Spruce-3,188,Conifer,0,0,0,0.74,0
2373,16042,73,7316042,Western North American Boreal Mesic Black Spruce Forest - Alaska Sub-boreal,461,461,Black Spruce-4,188,Conifer,0,0,0,0.74,0
2374,16050,73,7316050,Western North American Boreal Mesic Birch-Aspen Forest,462,462,Paper Birch-Quaking Aspen-4,209,Hardwood,0,0,0,0.82,0
2375,16061,73,7316061,Western North American Boreal Dry Aspen-Steppe Bluff - Lower Elevations,463,463,Quaking Aspen-3,232,Hardwood,0,0,0,0.91,0
2376,16062,73,7316062,Western North American Boreal Dry Aspen-Steppe Bluff - Higher Elevations,464,464,Prairie Sagewort-Alaska Wormwood-3,232,Shrubland,0,0,0,0.91,0
2377,16070,73,7316070,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,465,465,Balsam Poplar-Quaking Aspen-3,255,Hardwood,0,0,0,1,0
2378,16080,73,7316080,Alaska Sub-boreal Avalanche Slope Shrubland,466,466,Sitka Alder-Bluejoint-Fireweed-5,178,Shrubland,209,140,0.82,0.7,0.55
2379,16090,73,7316090,Alaska Sub-Boreal Mesic Subalpine Alder Shrubland,467,467,Sitka Alder-Willow-5,107,Shrubland,186,89,0.73,0.42,0.35
2380,16101,73,7316101,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Boreal,468,468,Dwarf Birch-Willow-4,38,Shrubland,165,38,0.65,0.15,0.15
2381,16102,73,7316102,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Alaska Sub-boreal,469,469,Dwarf Birch-Willow-5,38,Shrubland,165,38,0.65,0.15,0.15
2382,16110,73,7316110,Western North American Sub-boreal Mesic Bluejoint Meadow,470,470,Bluejoint-5,214,Grassland,255,0,1,0.84,0
2383,16120,73,7316120,Western North American Boreal Dry Grassland,471,471,Fescue-Purple Reedgrass-3,255,Grassland,255,0,1,1,0
2384,16141,73,7316141,Western North American Boreal Montane Floodplain Forest and Shrubland - Boreal,473,473,Feltleaf Willow-Sitka Alder-Balsam Poplar-5,255,Conifer-Hardwood,127,209,0.5,1,0.82
2385,16142,73,7316142,Western North American Boreal Montane Floodplain Forest and Shrubland - Alaska Sub-boreal,474,474,Balsam Poplar-White Spruce-Alder-5,255,Conifer-Hardwood,127,209,0.5,1,0.82
2386,16150,73,7316150,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland,475,475,Balsam Poplar-White Spruce-Willow-5,249,Conifer-Hardwood,117,211,0.46,0.98,0.83
2387,16160,73,7316160,Western North American Boreal Riparian Stringer Forest and Shrubland,476,476,White Spruce-Paper Birch-Willow-3,242,Riparian,107,209,0.42,0.95,0.82
2388,16170,73,7316170,Western North American Boreal Shrub and Herbaceous Floodplain Wetland,477,477,Buckbean-Water Sedge-Sweetgale-5,242,Peatland non-forest,96,209,0.38,0.95,0.82
2389,16181,73,7316181,Western North American Boreal Herbaceous Fen - Alaska Sub-Boreal Complex,478,478,Sweetgale-Sedge-Cottongrass-5,237,Peatland non-forest,89,209,0.35,0.93,0.82
2390,16211,73,7316211,Western North American Boreal Black Spruce Dwarf-tree Peatland - Boreal Complex,479,479,Black Spruce-Labrador Tea-Sphagnum-4,224,Peatland Forest,63,209,0.25,0.88,0.82
2391,16212,73,7316212,Western North American Boreal Black Spruce Dwarf-tree Peatland - Alaska Sub-boreal Complex,480,480,Black Spruce-Small Cranberry-Sphagnum-5,224,Peatland Forest,63,209,0.25,0.88,0.82
2392,16220,73,7316220,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland,481,481,Black Spruce-Sphagnum-Reindeer Lichen-3,30,Peatland Forest,158,239,0.62,0.12,0.94
2393,16240,73,7316240,Western North American Boreal Deciduous Shrub Swamp,482,482,Thinleaf Alder-Sitka Alder-Willow-5,130,Riparian,237,237,0.93,0.51,0.93
2394,16280,73,7316280,Western North American Boreal Low Shrub-Tussock Tundra,483,483,Tussock Cottongrass-Bigelows Sedge-Dwarf Birch-4,255,Peatland non-forest,239,239,0.94,1,0.94
2395,16290,73,7316290,Western North American Boreal Tussock Tundra,484,484,Tussock Cottongrass-Bigelows Sedge-4,242,Peatland non-forest,226,226,0.89,0.95,0.89
2396,16300,73,7316300,Western North American Boreal Wet Black Spruce-Tussock Woodland,485,485,Black spruce-Tussock Cottongrass-4,229,Peatland Forest,216,216,0.85,0.9,0.85
2397,16310,73,7316310,Western North American Boreal Alpine Dwarf-Shrub Summit,486,486,Mountain Avens-Black Crowberry-5,216,Shrubland,204,204,0.8,0.85,0.8
2399,16330,73,7316330,Western North American Boreal Alpine Mesic Herbaceous Meadow,487,487,Bigelows Sedge-Northern Woodrush-5,229,Grassland,239,140,0.94,0.9,0.55
2400,16351,73,7316351,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland - Complex,488,488,White Arctic Mountain Heather-Black Crowberry-Mountain Avens-5,209,Shrubland,242,173,0.95,0.82,0.68
2401,16371,73,7316371,Western North American Boreal Alpine Floodplain - Lower Elevations,489,489,Feltleaf Willow-Sitka Alder-Dwarf Fireweed-5,224,Shrubland,175,229,0.69,0.88,0.9
2402,16372,73,7316372,Western North American Boreal Alpine Floodplain - Higher Elevations,490,490,Feltleaf Willow-Sitka Alder-Mountain Avens-5,224,Shrubland,175,229,0.69,0.88,0.9
2403,16420,73,7316420,Aleutian Kenai Birch-Cottonwood-Poplar Forest,494,494,Kenai Birch-Black Cottonwood-5,99,Hardwood,0,0,0,0.39,0
2404,16430,73,7316430,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,495,495,Aleutian Mountain Heath-Black Crowberry-5,178,Shrubland,209,140,0.82,0.7,0.55
2405,16450,73,7316450,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,497,497,Longawn Sedge-Wooly Geranium-5,198,Grassland,237,0,0.93,0.78,0
2406,16440,73,7316440,Alaskan Pacific Maritime Sitka Spruce Forest,496,496,Sitka Spruce-Devilsclub-5,255,Conifer,0,0,0,1,0
2407,16460,77,7716460,Alaskan Pacific Maritime Western Hemlock Forest,498,498,Western Hemlock-Sitka Spruce-5,86,Conifer,0,0,0,0.34,0
2408,16482,78,7816482,Alaskan Pacific Maritime Mountain Hemlock Forest - Southeast,500,500,Mountain Hemlock-Oval-leaf Blueberry-5,153,Conifer,63,0,0.25,0.6,0
2409,16790,73,7316790,Alaska Sub-boreal White Spruce-Hardwood Forest,521,521,White Spruce-Paper Birch-5,255,Conifer-Hardwood,127,0,0.5,1,0
2410,16011,74,7416011,Western North American Boreal Treeline White Spruce Woodland - Boreal,457,457,White Spruce-Black Spruce-4,119,Conifer,0,0,0,0.47,0
2411,16012,74,7416012,Western North American Boreal Treeline White Spruce Woodland - Alaska Sub-boreal,458,458,White Spruce-Black Spruce-5,119,Conifer,0,0,0,0.47,0
2412,16030,74,7416030,Western North American Boreal White Spruce-Hardwood Forest,459,459,White Spruce-Paper Birch-4,165,Conifer-Hardwood,0,0,0,0.65,0
2413,16041,74,7416041,Western North American Boreal Mesic Black Spruce Forest - Boreal,460,460,Black Spruce-3,188,Conifer,0,0,0,0.74,0
2414,16042,74,7416042,Western North American Boreal Mesic Black Spruce Forest - Alaska Sub-boreal,461,461,Black Spruce-4,188,Conifer,0,0,0,0.74,0
2415,16050,74,7416050,Western North American Boreal Mesic Birch-Aspen Forest,462,462,Paper Birch-Quaking Aspen-4,209,Hardwood,0,0,0,0.82,0
2416,16061,74,7416061,Western North American Boreal Dry Aspen-Steppe Bluff - Lower Elevations,463,463,Quaking Aspen-3,232,Hardwood,0,0,0,0.91,0
2417,16062,74,7416062,Western North American Boreal Dry Aspen-Steppe Bluff - Higher Elevations,464,464,Prairie Sagewort-Alaska Wormwood-3,232,Shrubland,0,0,0,0.91,0
2418,16070,74,7416070,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,465,465,Balsam Poplar-Quaking Aspen-3,255,Hardwood,0,0,0,1,0
2419,16080,74,7416080,Alaska Sub-boreal Avalanche Slope Shrubland,466,466,Sitka Alder-Bluejoint-Fireweed-5,178,Shrubland,209,140,0.82,0.7,0.55
2420,16090,74,7416090,Alaska Sub-Boreal Mesic Subalpine Alder Shrubland,467,467,Sitka Alder-Willow-5,107,Shrubland,186,89,0.73,0.42,0.35
2421,16101,74,7416101,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Boreal,468,468,Dwarf Birch-Willow-4,38,Shrubland,165,38,0.65,0.15,0.15
2422,16102,74,7416102,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Alaska Sub-boreal,469,469,Dwarf Birch-Willow-5,38,Shrubland,165,38,0.65,0.15,0.15
2423,16110,74,7416110,Western North American Sub-boreal Mesic Bluejoint Meadow,470,470,Bluejoint-5,214,Grassland,255,0,1,0.84,0
2424,16120,74,7416120,Western North American Boreal Dry Grassland,471,471,Fescue-Purple Reedgrass-3,255,Grassland,255,0,1,1,0
2425,16130,74,7416130,Western North American Boreal Active Inland Dune,472,472,White Spruce-Yukon Lupine-Sand Ryegrass-5,163,Shrubland,242,96,0.95,0.64,0.38
2426,16141,74,7416141,Western North American Boreal Montane Floodplain Forest and Shrubland - Boreal,473,473,Feltleaf Willow-Sitka Alder-Balsam Poplar-5,255,Conifer-Hardwood,127,209,0.5,1,0.82
2427,16142,74,7416142,Western North American Boreal Montane Floodplain Forest and Shrubland - Alaska Sub-boreal,474,474,Balsam Poplar-White Spruce-Alder-5,255,Conifer-Hardwood,127,209,0.5,1,0.82
2428,16150,74,7416150,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland,475,475,Balsam Poplar-White Spruce-Willow-5,249,Conifer-Hardwood,117,211,0.46,0.98,0.83
2429,16160,74,7416160,Western North American Boreal Riparian Stringer Forest and Shrubland,476,476,White Spruce-Paper Birch-Willow-3,242,Riparian,107,209,0.42,0.95,0.82
2430,16170,74,7416170,Western North American Boreal Shrub and Herbaceous Floodplain Wetland,477,477,Buckbean-Water Sedge-Sweetgale-5,242,Peatland non-forest,96,209,0.38,0.95,0.82
2431,16181,74,7416181,Western North American Boreal Herbaceous Fen - Alaska Sub-Boreal Complex,478,478,Sweetgale-Sedge-Cottongrass-5,237,Peatland non-forest,89,209,0.35,0.93,0.82
2432,16211,74,7416211,Western North American Boreal Black Spruce Dwarf-tree Peatland - Boreal Complex,479,479,Black Spruce-Labrador Tea-Sphagnum-4,224,Peatland Forest,63,209,0.25,0.88,0.82
2433,16212,74,7416212,Western North American Boreal Black Spruce Dwarf-tree Peatland - Alaska Sub-boreal Complex,480,480,Black Spruce-Small Cranberry-Sphagnum-5,224,Peatland Forest,63,209,0.25,0.88,0.82
2434,16220,74,7416220,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland,481,481,Black Spruce-Sphagnum-Reindeer Lichen-3,30,Peatland Forest,158,239,0.62,0.12,0.94
2435,16240,74,7416240,Western North American Boreal Deciduous Shrub Swamp,482,482,Thinleaf Alder-Sitka Alder-Willow-5,130,Riparian,237,237,0.93,0.51,0.93
2436,16280,74,7416280,Western North American Boreal Low Shrub-Tussock Tundra,483,483,Tussock Cottongrass-Bigelows Sedge-Dwarf Birch-4,255,Peatland non-forest,239,239,0.94,1,0.94
2437,16290,74,7416290,Western North American Boreal Tussock Tundra,484,484,Tussock Cottongrass-Bigelows Sedge-4,242,Peatland non-forest,226,226,0.89,0.95,0.89
2438,16300,74,7416300,Western North American Boreal Wet Black Spruce-Tussock Woodland,485,485,Black spruce-Tussock Cottongrass-4,229,Peatland Forest,216,216,0.85,0.9,0.85
2439,16310,74,7416310,Western North American Boreal Alpine Dwarf-Shrub Summit,486,486,Mountain Avens-Black Crowberry-5,216,Shrubland,204,204,0.8,0.85,0.8
2441,16330,74,7416330,Western North American Boreal Alpine Mesic Herbaceous Meadow,487,487,Bigelows Sedge-Northern Woodrush-5,229,Grassland,239,140,0.94,0.9,0.55
2442,16351,74,7416351,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland - Complex,488,488,White Arctic Mountain Heather-Black Crowberry-Mountain Avens-5,209,Shrubland,242,173,0.95,0.82,0.68
2443,16371,74,7416371,Western North American Boreal Alpine Floodplain - Lower Elevations,489,489,Feltleaf Willow-Sitka Alder-Dwarf Fireweed-5,224,Shrubland,175,229,0.69,0.88,0.9
2444,16372,74,7416372,Western North American Boreal Alpine Floodplain - Higher Elevations,490,490,Feltleaf Willow-Sitka Alder-Mountain Avens-5,224,Shrubland,175,229,0.69,0.88,0.9
2445,16460,78,7816460,Alaskan Pacific Maritime Western Hemlock Forest,498,498,Western Hemlock-Sitka Spruce-5,86,Conifer,0,0,0,0.34,0
2446,16790,74,7416790,Alaska Sub-boreal White Spruce-Hardwood Forest,521,521,White Spruce-Paper Birch-5,255,Conifer-Hardwood,127,0,0.5,1,0
2447,16011,75,7516011,Western North American Boreal Treeline White Spruce Woodland - Boreal,457,457,White Spruce-Black Spruce-4,119,Conifer,0,0,0,0.47,0
2448,16030,75,7516030,Western North American Boreal White Spruce-Hardwood Forest,459,459,White Spruce-Paper Birch-4,165,Conifer-Hardwood,0,0,0,0.65,0
2449,16042,75,7516042,Western North American Boreal Mesic Black Spruce Forest - Alaska Sub-boreal,461,461,Black Spruce-4,188,Conifer,0,0,0,0.74,0
2450,16070,75,7516070,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,465,465,Balsam Poplar-Quaking Aspen-3,255,Hardwood,0,0,0,1,0
